,subject,age,run,imp_score
0,201.0,19.25,1.0,1.805755208333333
1,201.0,19.25,2.0,1.5985291666666663
2,201.0,19.25,3.0,2.6449572916666666
3,201.0,19.25,4.0,1.680825
4,201.0,19.25,5.0,1.4457722916666667
5,201.0,19.25,6.0,1.5554085069444443
6,202.0,21.25,1.0,3.6731906249999993
7,202.0,21.25,2.0,3.214358333333333
8,202.0,21.25,3.0,2.6421392361111113
9,202.0,21.25,4.0,3.8375593749999997
10,202.0,21.25,5.0,3.332946249999999
11,202.0,21.25,6.0,3.248062847222222
12,203.0,22.0,1.0,0.6015072916666665
13,203.0,22.0,2.0,0.23677135416666667
14,203.0,22.0,3.0,0.22067013888888887
15,203.0,22.0,4.0,0.17399505208333332
16,203.0,22.0,5.0,0.20763749999999997
17,203.0,22.0,6.0,0.21553819444444433
18,208.0,12.583,1.0,-0.7641333333333333
19,208.0,12.583,2.0,-2.5339572916666673
20,208.0,12.583,3.0,-1.8049697916666672
21,208.0,12.583,4.0,-2.711533854166667
22,208.0,12.583,5.0,-1.7261079166666669
23,208.0,12.583,6.0,-1.51366875
24,211.0,7.25,1.0,-5.882554166666667
25,211.0,7.25,2.0,0.9739057291666677
26,211.0,7.25,3.0,3.331867708333334
27,211.0,7.25,4.0,3.4930789062499996
28,211.0,7.25,5.0,1.0902777083333333
29,211.0,7.25,6.0,0.7526428819444441
30,212.0,8.42,1.0,1.8712958333333334
31,212.0,8.42,2.0,2.698580729166667
32,212.0,8.42,3.0,2.5571010416666673
33,212.0,8.42,4.0,0.6289588541666669
34,212.0,8.42,5.0,0.28578437500000015
35,212.0,8.42,6.0,1.291288888888889
36,213.0,12.17,1.0,0.9904989583333329
37,213.0,12.17,2.0,0.34979427083333303
38,213.0,12.17,3.0,0.09479270833333314
39,213.0,12.17,4.0,1.4211583333333333
40,213.0,12.17,5.0,1.1603483333333335
41,220.0,11.67,1.0,5.6464875
42,220.0,11.67,2.0,4.718233854166666
43,220.0,11.67,3.0,1.0564420138888886
44,220.0,11.67,4.0,0.28692578124999985
45,220.0,11.67,5.0,1.5556335416666667
46,220.0,11.67,6.0,1.2022706597222221
47,221.0,9.5,1.0,2.9434697916666663
48,221.0,9.5,2.0,-0.17987239583333325
49,221.0,9.5,3.0,0.7159173611111113
50,221.0,9.5,4.0,1.04625
51,221.0,9.5,5.0,0.6362402083333334
52,221.0,9.5,6.0,-0.016527083333333376
53,222.0,6.92,1.0,0.8281781249999998
54,222.0,6.92,2.0,4.490940104166666
55,222.0,6.92,3.0,2.6814128472222216
56,222.0,6.92,4.0,2.5982921875
57,222.0,6.92,5.0,3.5054447916666667
58,222.0,6.92,6.0,2.8346616319444444
59,223.0,21.0,1.0,8.714925
60,223.0,21.0,2.0,5.3391593749999995
61,223.0,21.0,3.0,3.822463194444444
62,223.0,21.0,4.0,3.643656770833333
63,223.0,21.0,5.0,2.971565
64,223.0,21.0,6.0,2.6960998263888896
65,224.0,20.83,1.0,9.714764583333334
66,224.0,20.83,2.0,4.702795833333334
67,224.0,20.83,3.0,2.9564809027777774
68,224.0,20.83,4.0,2.0119945312499996
69,224.0,20.83,5.0,1.0269493749999996
70,224.0,20.83,6.0,1.320453125
71,226.0,7.92,1.0,-7.1134031250000005
72,226.0,7.92,2.0,-6.990934895833334
73,226.0,7.92,3.0,-4.890484375
74,226.0,7.92,4.0,-2.15587109375
75,226.0,7.92,5.0,-1.6958645833333332
76,226.0,7.92,6.0,-0.7187621527777782
77,228.0,24.5,1.0,1.3337666666666665
78,228.0,24.5,2.0,0.5934385416666661
79,228.0,24.5,3.0,0.31292256944444397
80,228.0,24.5,4.0,0.32880624999999963
81,228.0,24.5,5.0,0.30207583333333304
82,228.0,24.5,6.0,0.17318506944444426
83,229.0,8.17,1.0,5.2017750000000005
84,229.0,8.17,2.0,1.3636046875000003
85,229.0,8.17,3.0,-0.1601645833333327
86,229.0,8.17,4.0,-0.39823177083333283
87,229.0,8.17,5.0,-0.26680270833333297
88,229.0,8.17,6.0,-0.6159395833333332
89,230.0,8.0,1.0,3.89490625
90,230.0,8.0,2.0,6.115634895833334
91,230.0,8.0,3.0,5.725685416666668
92,230.0,8.0,4.0,2.0107192708333343
93,231.0,19.75,1.0,13.934636458333333
94,231.0,19.75,2.0,7.270742708333334
95,231.0,19.75,3.0,4.877689930555555
96,231.0,19.75,4.0,3.8233661458333335
97,231.0,19.75,5.0,1.8995325
98,231.0,19.75,6.0,1.5994999999999997
99,232.0,25.25,1.0,3.873354166666667
100,232.0,25.25,2.0,1.5263489583333336
101,232.0,25.25,3.0,1.1046034722222224
102,232.0,25.25,4.0,1.5258166666666666
103,232.0,25.25,5.0,1.2665185416666667
104,232.0,25.25,6.0,1.0998237847222223
105,235.0,21.17,1.0,-0.06929895833333344
106,235.0,21.17,2.0,-1.4619848958333335
107,235.0,21.17,3.0,-0.5927145833333335
108,235.0,21.17,4.0,-0.1958671875000001
109,235.0,21.17,5.0,-0.24220541666666678
110,235.0,21.17,6.0,-0.11536753472222226
111,238.0,19.67,1.0,4.107546875
112,238.0,19.67,2.0,2.0353416666666666
113,238.0,19.67,3.0,1.2557020833333332
114,238.0,19.67,4.0,1.2112046875
115,238.0,19.67,5.0,1.3279345833333334
116,238.0,19.67,6.0,0.5991657986111113
117,239.0,12.67,1.0,-0.07706354166666667
118,239.0,12.67,2.0,1.5577796874999998
119,239.0,12.67,3.0,0.6893364583333336
120,239.0,12.67,4.0,1.2218708333333332
121,239.0,12.67,5.0,1.3478014583333333
