,subject,age,run,test_trial,condition,repetition,distance,time,goalx,goaly,nav_x,nav_y,navigation_accuracy,chance_dist,distance_traveled,euclidean_path,path_efficiency,spawn_x,spawn_y,cone_x,cone_y,angular_error
0,201,19.25,1,1,4,1,10.254,12.317,3.3263,24.9474,-5.2638,19.6797,68.28646561,32.33319842,56.609,50.08,6.529,0.060455,-24.9904,-13.305,13.305,22.56917058
1,201,19.25,1,2,3,1,28.211,24.484,11.6421,-24.9473,-3.752,-1.383,16.8523439,33.92879766,71.666,43.45,28.216,18.66,17.89,13.305,-13.305,94.7828852
2,201,19.25,1,3,1,1,3.3284,10.602,16.6316,16.6316,19.2534,15.8545,89.3430094,31.23208159,35.826,36.31,0.484,19.56,-19.51,13.305,13.31,21.79750598
3,201,19.25,1,4,2,1,9.7308,10.584,6.6526,19.9579,13.0567,12.8815,67.34292819,29.79691522,40.256,24.752,15.504,-17.94,17.89,13.305,13.31,104.8898993
4,201,19.25,1,5,3,2,17.351,18.784,11.6421,-24.9473,-5.3954,-27.6269,48.86055152,33.92879766,50.63,44.37,6.26,-24.94,0.090042,13.305,-13.305,36.06744408
5,201,19.25,1,6,1,2,2.7707,8.9497,16.6316,16.6316,16.8498,14.6244,91.12867328,31.23208159,45.545,44.782,0.763,-24.94,0.090042,13.305,13.31,24.61229664
6,201,19.25,1,7,4,2,4.4037,9.0836,3.3263,24.9474,-0.57059,24.1683,86.38025245,32.33319842,21.589,16.986,4.603,18.66,17.89,-13.305,13.305,8.94704449
7,201,19.25,1,8,2,2,1.9026,6.534,6.6526,19.9579,6.7054,20.0877,93.61477527,29.79691522,45.825,45.593,0.232,-16.94,-19.01,13.305,13.31,0.782153286
8,201,19.25,1,9,3,3,3.9945,19.683,11.6421,-24.9473,14.6426,-23.1162,88.22681534,33.92879766,75.664,52.094,23.57,-17.94,17.89,13.305,-13.305,7.334639055
9,201,19.25,1,10,2,3,8.7558,12.985,6.6526,19.9579,13.2131,25.4373,70.61507899,29.79691522,60.667,47.367,13.3,0.060028,-26.91,13.305,13.31,44.58520946
10,201,19.25,1,11,1,3,4.3961,8.2161,16.6316,16.6316,17.4012,12.7415,85.92440921,31.23208159,33.705,36.31,2.605,19.56,-19.51,13.305,13.31,52.85835359
11,201,19.25,1,12,4,3,4.3025,11.434,3.3263,24.9474,7.1027,24.141,86.69324345,32.33319842,32.793,33.073,0.28,25.06,0.090027,-13.305,13.305,8.800197405
12,201,19.25,2,1,2,1,2.6029,6.5167,-19.9578,6.6527,-18.2075,6.3187,91.26452143,29.79687924,37.919,39.125,1.206,0.060028,-26.91,-13.305,13.305,9.943642039
13,201,19.25,2,2,4,1,5.4007,13.201,-3.3263,23.2842,1.6344,22.3055,82.72474107,31.26262838,21.755,15.693,6.062,-17.94,17.89,13.305,13.31,12.32083557
14,201,19.25,2,3,1,1,2.3726,8.1672,-16.6316,16.6316,-15.2453,16.3037,92.40332415,31.23208159,43.518,44.893,1.375,25.06,0.090027,-13.305,13.305,12.09523242
15,201,19.25,2,4,3,1,21.701,21.318,24.947,-11.642,8.6809,-25.881,36.03916167,33.92857343,39.429,9.7224,29.7066,19.56,-19.51,13.305,-13.305,46.44070692
16,201,19.25,2,5,2,2,6.0181,9.8333,-19.9578,6.6527,-15.7279,10.4901,79.80291845,29.79687924,39.038,40.264,1.226,18.66,17.89,-13.305,13.305,4.28222348
17,201,19.25,2,6,1,2,1.9424,12.284,-16.6316,16.6316,-16.2212,16.5653,93.78075395,31.23208159,41.027,35.334,5.693,-16.6209,-18.6514,-13.305,13.305,3.188718276
18,201,19.25,2,7,4,2,7.4104,22.136,-3.3263,23.2842,0.46866,29.3597,76.29629886,31.26262838,68.088,48.567,19.521,19.56,-19.51,13.305,13.31,9.044585411
19,201,19.25,2,8,3,2,4.3684,8.2163,24.947,-11.642,28.8806,-11.5485,87.12471655,33.92857343,47.771,42.572,5.199,-16.94,-19.01,13.305,-13.305,3.222006327
20,201,19.25,2,9,4,3,4.2831,14.618,-3.3263,23.2842,0.33047,24.4557,86.29961644,31.26262838,42.644,36.706,5.938,25.06,0.090027,13.305,13.31,8.904258947
21,201,19.25,2,10,1,3,2.2039,9.7841,-16.6316,16.6316,-15.5134,16.7148,92.94347386,31.23208159,50.964,51.023,0.059,19.4471,-19.3966,-13.305,13.305,12.07037856
22,201,19.25,2,11,3,3,4.4524,15.401,24.947,-11.642,21.3142,-9.9021,86.87713762,33.92857343,55.858,52.106,3.752,-17.94,17.89,13.305,-13.305,0.098493569
23,201,19.25,2,12,2,3,2.1987,8.2668,-19.9578,6.6527,-18.853,6.7696,92.62103933,29.79687924,39.425,39.125,0.3,0.060028,-26.91,-13.305,13.305,4.673721795
24,201,19.25,3,1,2,1,2.1975,13.135,19.9579,-6.6526,19.7872,-7.7479,92.6250755,29.79691522,32.959,24.65,8.309,18.66,17.89,13.305,-13.305,4.391821138
25,201,19.25,3,2,1,1,3.2957,9.047,16.6316,-16.6316,14.0101,-16.0077,89.44770943,31.23208159,47.156,46.795,0.361,0.059998,27.09,13.305,-13.305,30.37817673
26,201,19.25,3,3,4,1,25.949,12.268,24.9474,-3.3263,8.9152,-23.6415,19.74502596,32.33319842,32.639,34.339,1.7,0.060028,-26.91,13.305,13.31,61.74396289
27,201,19.25,3,4,3,1,57.243,52.454,-24.9474,-11.6421,28.8102,7.9357,-68.71476358,33.92886241,143.12,30.411,112.709,-17.94,17.89,-13.306,-13.305,170.3832344
28,201,19.25,3,5,4,2,4.2716,36.885,24.9474,-3.3263,25.0445,-7.1521,86.78881086,32.33319842,70.548,47.886,22.662,-17.94,17.89,13.305,13.31,8.343454983
29,201,19.25,3,6,1,2,2.7538,10.6,16.6316,-16.6316,14.7364,-17.2572,91.1827843,31.23208159,31.839,33.709,1.87,-16.94,-19.01,13.305,-13.305,25.0907261
30,201,19.25,3,7,3,2,4.2457,16.418,-24.9474,-11.6421,-26.615,-8.2296,87.48646521,33.92886241,56.421,52.07,4.351,18.1976,17.4475,-13.306,-13.305,7.834771439
31,201,19.25,3,8,2,2,3.5696,8.9845,19.9579,-6.6526,19.9037,-9.6758,88.02023641,29.79691522,47.198,45.191,2.007,-17.94,17.89,13.305,-13.305,16.18761978
32,201,19.25,3,9,1,3,2.1291,8.984,16.6316,-16.6316,15.9114,-15.9881,93.18297119,31.23208159,44.382,44.849,0.467,-24.94,0.090042,13.305,-13.305,0.830754953
33,201,19.25,3,10,2,3,3.0843,6.4671,19.9579,-6.6526,20.4594,-9.0319,89.6489285,29.79691522,27.037,24.65,2.387,18.66,17.89,13.305,-13.305,14.14929184
34,201,19.25,3,11,3,3,5.0554,15.534,-24.9474,-11.6421,-27.0202,-7.4397,85.10000147,33.92886241,46.668,46.143,0.525,0.059998,27.09,-13.306,-13.305,9.622577683
35,201,19.25,3,12,4,3,1.9889,15.551,24.9474,-3.3263,24.7696,-2.7574,93.84873722,32.33319842,49.874,44.768,5.106,-16.94,-19.01,13.305,13.31,1.242474303
36,201,19.25,4,1,3,1,10.605,15.518,11.642,24.947,17.0934,16.0502,68.74315974,33.92857343,32.15,10.132,22.018,18.66,17.89,13.305,13.31,21.78577924
37,201,19.25,4,2,2,1,4.4975,9.7838,-6.6526,-19.9579,-4.7588,-23.5692,84.90615566,29.79691522,25.382,26.285,0.903,19.56,-19.51,-13.306,-13.305,5.217342557
38,201,19.25,4,3,1,1,1.9016,8.184,-16.6316,-16.6316,-16.5244,-16.6936,93.91138886,31.23208159,47.164,46.838,0.326,0.059998,27.09,-13.306,-13.305,1.467031778
39,201,19.25,4,4,4,1,32.422,15.568,23.2842,3.3263,3.629,-22.389,-3.708490554,31.26262838,53.05,46.049,7.001,-16.94,-19.01,13.305,-13.305,88.92315237
40,201,19.25,4,5,1,2,3.6982,9,-16.6316,-16.6316,-15.0826,-13.8607,88.15897048,31.23208159,44.315,44.96,0.645,25.06,0.090027,-13.306,-13.305,27.63953189
41,201,19.25,4,6,3,2,11.868,21.218,11.642,24.947,19.5307,16.2856,65.02063364,33.92857343,58.507,52.467,6.04,-16.94,-19.01,13.305,13.31,25.16007201
42,201,19.25,4,7,2,2,5.5802,8.2174,-6.6526,-19.9579,-7.9891,-14.8832,81.27255805,29.79691522,44.773,45.572,0.799,18.66,17.89,-13.306,-13.305,28.46553147
43,201,19.25,4,8,4,2,39.955,38.551,23.2842,3.3263,-10.6266,24.371,-27.80435322,31.26262838,101.57,15.398,86.172,18.66,17.89,13.305,-13.305,105.428801
44,201,19.25,4,9,2,3,4.8728,8.1665,-6.6526,-19.9579,-10.6679,-17.9527,83.64662931,29.79691522,36.915,39.541,2.626,-17.94,17.89,-13.306,-13.305,15.42229828
45,201,19.25,4,10,3,3,23.907,30.952,11.642,24.947,-12.1511,23.5979,29.53726732,33.92857343,33.423,30.471,2.952,-17.94,17.89,13.305,13.31,52.26199677
46,201,19.25,4,11,4,3,25.358,28.701,23.2842,3.3263,15.9455,-20.8727,18.88717835,31.26262838,67.154,23.216,43.938,19.56,-19.51,13.305,-13.305,60.75239456
47,201,19.25,4,12,1,3,3.482,9.8009,-16.6316,-16.6316,-16.1042,-13.7602,88.8512074,31.23208159,39.082,36.355,2.727,19.56,-19.51,-13.306,-13.305,35.76890213
48,201,19.25,5,1,2,1,1.9495,16.318,6.6526,19.9579,6.4476,20.3554,93.45737642,29.79691522,42.594,37.369,5.225,-24.94,0.090042,13.305,13.31,0.794117785
49,201,19.25,5,2,4,1,5.4019,12.217,3.3263,24.9474,4.317,29.9071,83.29302307,32.33319842,62.341,51.676,10.665,0.060333,-26.5901,-13.305,13.305,0.619141581
50,201,19.25,5,3,1,1,2.8298,10.601,16.6316,16.6316,16.6086,14.5323,90.93944478,31.23208159,41.08,34.646,6.434,-17.94,17.89,13.305,13.31,24.65292326
51,201,19.25,5,4,3,1,8.5866,9.8512,11.6421,-24.9473,16.1352,-17.8804,74.69229507,33.92879766,53.65,53.344,0.306,0.059998,27.09,13.305,-13.305,17.04602157
52,201,19.25,5,5,1,2,2.9753,9.8334,16.6316,16.6316,17.6186,14.5636,90.47357765,31.23208159,45.388,46.627,1.239,0.060028,-26.91,13.305,13.31,28.75221336
53,201,19.25,5,6,3,2,5.6253,12.284,11.6421,-24.9473,6.9136,-27.3316,83.42027897,33.92879766,56.716,52.094,4.622,-17.94,17.89,13.305,-13.305,10.82158958
54,201,19.25,5,7,4,2,3.0446,10.651,3.3263,24.9474,1.5349,23.3791,90.58367205,32.33319842,47.442,47.367,0.075,19.56,-19.51,-13.305,13.305,3.838368759
55,201,19.25,5,8,2,2,6.0454,13.168,6.6526,19.9579,12.3871,20.2061,79.71132261,29.79691522,52.122,45.593,6.529,-16.94,-19.01,13.305,13.31,37.4376404
56,201,19.25,5,9,1,3,2.1545,7.3164,16.6316,16.6316,15.935,15.8858,93.10164456,31.23208159,35.808,36.31,0.502,19.56,-19.51,13.305,13.31,0.553420211
57,201,19.25,5,10,4,3,3.8054,13.885,3.3263,24.9474,6.0044,23.0218,88.23067254,32.33319842,15.515,16.986,1.471,18.66,17.89,-13.305,13.305,7.023276862
58,201,19.25,5,11,2,3,2.0546,9.0348,6.6526,19.9579,7.2568,19.4545,93.10465535,29.79691522,37.888,37.369,0.519,-24.94,0.090042,13.305,13.31,0.471907668
59,201,19.25,5,12,3,3,4.554,13.068,11.6421,-24.9473,15.5837,-26.2134,86.57777371,33.92879766,35.005,29.254,5.751,-16.94,-19.01,13.305,-13.305,5.714270984
60,201,19.25,6,1,3,1,24.967,30.151,11.642,24.947,-12.9207,28.9976,26.41305697,33.92857343,128.83,28.311,100.519,25.06,0.090027,13.305,13.31,49.03373242
61,201,19.25,6,2,1,1,2.7671,8.2016,-16.6316,-16.6316,-17.7071,-18.3342,91.14019989,31.23208159,49.097,44.96,4.137,25.06,0.090027,-13.306,-13.305,3.801913117
