,subject,age_group,age_num,run,z,scaled_accuracy,distance
0,222,6-9yo,6.92,1,0.057815564,27.18624274,23.06039167
1,222,6-9yo,6.92,2,0.311313438,28.6115798,22.54505833
2,222,6-9yo,6.92,3,-0.061789794,17.53210327,26.52568333
3,222,6-9yo,6.92,4,0.085969494,44.27911912,17.44994167
4,222,6-9yo,6.92,5,0.130900224,0.902221839,30.38270833
5,222,6-9yo,6.92,6,-0.039805319,35.76011705,20.17310833
6,211,6-9yo,7.25,1,-0.264991813,30.78464922,21.98011667
7,211,6-9yo,7.25,2,-0.227216357,37.02051944,20.42861667
8,211,6-9yo,7.25,3,0.318941094,22.47478742,24.67034167
9,211,6-9yo,7.25,4,-0.109866256,29.30954206,22.537075
10,211,6-9yo,7.25,5,0.111296616,7.263136764,29.807275
11,211,6-9yo,7.25,6,-1.175988271,-2.467096923,32.137
12,351,6-9yo,7.5,1,0.457903281,26.32592983,23.87355833
13,351,6-9yo,7.5,2,0.370381291,19.21392671,25.768975
14,351,6-9yo,7.5,3,-0.053828436,33.67355067,21.61744167
15,351,6-9yo,7.5,4,-0.425562599,55.02357603,14.32448333
16,351,6-9yo,7.5,5,-0.217350894,40.79668265,19.253025
17,351,6-9yo,7.5,6,0.55829212,48.25823683,16.53186667
18,298,6-9yo,7.83,1,0.203447795,18.5745535,25.37410833
19,298,6-9yo,7.83,2,0.189424788,30.35073638,21.85649167
20,298,6-9yo,7.83,3,1.125362311,24.10320171,23.794525
21,298,6-9yo,7.83,4,-0.719935114,43.18103834,17.28650833
22,298,6-9yo,7.83,5,0.209705896,55.3002773,14.05251667
23,298,6-9yo,7.83,6,0.579893158,62.32707817,11.6082
24,226,6-9yo,7.92,1,0.302495668,37.99105145,18.664725
25,226,6-9yo,7.92,2,0.64040776,47.95630184,15.73343333
26,226,6-9yo,7.92,3,-0.280198162,16.78239363,25.7102
27,226,6-9yo,7.92,4,-0.232596254,28.18881328,22.537875
28,226,6-9yo,7.92,5,1.394300617,43.95532837,17.77151667
29,226,6-9yo,7.92,6,-0.194413006,25.89687656,22.96436667
30,323,6-9yo,7.92,1,0.380630321,75.83404657,7.589441667
31,323,6-9yo,7.92,2,-0.375357036,54.08486525,14.51291667
32,323,6-9yo,7.92,3,0.198940689,71.58710904,9.039983333
33,323,6-9yo,7.92,4,0.243245105,52.5442554,15.014575
34,323,6-9yo,7.92,5,0.028334661,36.10228384,20.73228333
35,323,6-9yo,7.92,6,0.726495624,33.74536907,21.01406667
36,341,6-9yo,7.92,1,1.307861588,39.13728778,19.618125
37,341,6-9yo,7.92,2,-0.115112784,3.572211074,30.27658333
38,341,6-9yo,7.92,3,-0.441987743,24.96144824,23.93714167
39,341,6-9yo,7.92,4,-0.199285375,22.8716676,24.25524167
40,341,6-9yo,7.92,5,0.030429119,13.8579702,27.53605833
41,341,6-9yo,7.92,6,-0.415696489,9.362601368,28.612275
42,229,6-9yo,8.17,1,0.271890159,13.92787941,27.26749167
43,229,6-9yo,8.17,2,0.21324175,55.96374705,14.036675
44,229,6-9yo,8.17,3,-0.097964275,58.24767988,13.33133333
45,229,6-9yo,8.17,4,-0.005883911,73.90479169,8.435833333
46,229,6-9yo,8.17,5,-0.02495424,64.45051524,11.47175833
47,229,6-9yo,8.17,6,-0.258849856,62.23483499,12.33050833
48,279,6-9yo,8.17,1,-1.079076987,27.02815053,23.119425
49,279,6-9yo,8.17,2,-0.346703817,43.14195123,18.21845
50,279,6-9yo,8.17,3,-0.51371405,40.57943777,18.670625
51,279,6-9yo,8.17,4,-0.079777245,60.86190024,12.27810833
52,279,6-9yo,8.17,5,-0.681149753,42.36686731,18.54016667
53,279,6-9yo,8.17,6,-0.167761803,57.98161725,13.39965833
54,282,6-9yo,8.25,1,-0.725082151,58.62371688,13.00025
55,282,6-9yo,8.25,2,0.588374566,66.98568989,10.44156667
56,282,6-9yo,8.25,3,-0.460314516,34.83868428,20.45836667
57,282,6-9yo,8.25,4,-0.290440457,15.78251923,25.49025833
58,282,6-9yo,8.25,5,0.332574026,61.73463532,11.94113333
59,282,6-9yo,8.25,6,-0.273338024,68.50340518,9.566866667
60,350,6-9yo,8.25,1,1.508148651,60.89101893,12.46328333
61,350,6-9yo,8.25,2,-0.027824341,43.60915859,17.06904167
62,350,6-9yo,8.25,3,0.16837573,11.53230512,28.25800833
63,350,6-9yo,8.25,4,-0.408243333,73.83510599,8.100958333
64,350,6-9yo,8.25,5,1.003981148,71.28371569,8.530341667
65,350,6-9yo,8.25,6,0.014467184,72.04666889,8.431616667
66,212,6-9yo,8.42,1,-1.134071001,64.17177448,11.27923333
67,212,6-9yo,8.42,2,-0.131973783,72.03007404,8.805958333
68,212,6-9yo,8.42,3,-0.148360655,69.04229333,9.612741667
69,212,6-9yo,8.42,4,-0.090443682,60.63810361,12.38468333
70,212,6-9yo,8.42,5,0.263225903,77.88206272,6.805916667
71,212,6-9yo,8.42,6,0.730343826,45.09119005,17.40489167
72,240,6-9yo,8.75,1,0.488484583,28.59922475,22.64818333
73,240,6-9yo,8.75,2,-0.719647957,10.84783418,27.58591667
74,240,6-9yo,8.75,3,0.192113009,6.692777642,29.52908333
75,240,6-9yo,8.75,4,0.338191972,7.252845883,28.74175
76,240,6-9yo,8.75,5,-0.768220955,11.72822405,27.73803333
77,240,6-9yo,8.75,6,0.147425338,18.3654971,25.77869167
78,262,6-9yo,8.75,1,-0.128175679,13.50823726,27.05139167
79,262,6-9yo,8.75,2,-0.202414418,48.99221747,15.46875833
80,262,6-9yo,8.75,3,-0.279988484,32.57298189,20.83706667
81,262,6-9yo,8.75,4,-0.409932997,53.24959018,14.48626667
82,262,6-9yo,8.75,5,-0.056965253,53.81407383,14.36218333
83,262,6-9yo,8.75,6,-0.131847183,35.08770241,19.79925833
84,297,6-9yo,8.75,1,0.239765056,56.97796583,13.98941667
85,297,6-9yo,8.75,2,-0.309593784,38.67648056,19.75388333
86,297,6-9yo,8.75,3,-0.257898686,63.05746911,11.98083333
87,297,6-9yo,8.75,4,-0.239443054,6.263630246,29.52466667
88,297,6-9yo,8.75,5,0.326342417,68.80796772,10.03700833
89,297,6-9yo,8.75,6,-0.457381913,39.54042271,19.08203333
90,280,6-9yo,9,1,-0.395955814,49.30636864,16.246575
91,280,6-9yo,9,2,-0.277764949,28.41664731,22.74643333
92,280,6-9yo,9,3,-0.261220777,72.33276546,8.494425
93,280,6-9yo,9,4,0.086627612,54.69114434,14.2642
94,280,6-9yo,9,5,0.636667465,45.5649695,16.22549167
95,280,6-9yo,9,6,-0.142993553,61.03346541,12.31543333
96,329,6-9yo,9,1,-0.173197227,29.26695549,22.62866667
97,329,6-9yo,9,2,-0.353644956,17.09744021,26.11385833
98,329,6-9yo,9,3,0.275404248,31.53368587,21.67174167
99,329,6-9yo,9,4,0.098256007,49.96577646,15.77366667
100,329,6-9yo,9,5,-0.668917214,37.13684714,20.34550833
101,329,6-9yo,9,6,0.057520258,46.39937324,17.13098333
102,253,6-9yo,9.08,1,0.423287543,75.55990609,7.882658333
103,253,6-9yo,9.08,2,0.003375616,75.99574576,7.345033333
104,253,6-9yo,9.08,3,-1.896125659,87.27037578,4.0271
105,253,6-9yo,9.08,4,0.529642188,75.65994575,7.638258333
106,253,6-9yo,9.08,5,-0.518400576,85.27886983,4.743558333
107,253,6-9yo,9.08,6,0.193874484,85.00526782,4.781858333
108,268,6-9yo,9.08,1,-0.720978206,60.2550947,12.976325
109,268,6-9yo,9.08,2,-0.644381001,58.45039811,13.308525
110,268,6-9yo,9.08,3,-0.530172671,76.96860698,7.055941667
111,268,6-9yo,9.08,4,-1.325969751,54.71799347,14.35038333
112,268,6-9yo,9.08,5,-0.366302879,49.6428029,15.53696667
113,268,6-9yo,9.08,6,0.245896777,47.66828995,16.34469167
114,221,6-9yo,9.5,1,0.591824784,39.63786593,19.80836667
115,221,6-9yo,9.5,2,-0.272028123,42.23861247,18.2415
116,221,6-9yo,9.5,3,0.772322438,51.96332956,15.56290833
117,221,6-9yo,9.5,4,-0.840570985,52.91876629,14.87353333
118,221,6-9yo,9.5,5,-0.04561936,50.35900632,16.4469
119,221,6-9yo,9.5,6,-0.449093443,41.62837195,18.68071667
120,343,6-9yo,9.75,1,-0.343122491,55.72988344,14.10725
121,343,6-9yo,9.75,2,0.980495219,78.33524893,6.741366667
122,343,6-9yo,9.75,3,0.742521161,55.10750163,14.65866667
123,343,6-9yo,9.75,4,-0.114866377,37.92747812,19.55005
124,343,6-9yo,9.75,5,0.004369402,62.92036052,12.00885
125,343,6-9yo,9.75,6,0.490253194,47.49035505,17.088175
126,273,6-9yo,9.83,1,0.616149116,52.20497011,15.41285833
127,273,6-9yo,9.83,2,0.022018945,58.28722332,13.13985
128,273,6-9yo,9.83,3,1.658090838,62.32958751,12.0085
129,273,6-9yo,9.83,4,0.069838121,61.73433028,11.992975
130,273,6-9yo,9.83,5,1.049310201,47.66339493,17.01549167
131,273,6-9yo,9.83,6,0.135516104,32.95922853,21.22876667
132,324,6-9yo,9.92,1,0.061056868,54.59731723,14.52941667
133,324,6-9yo,9.92,2,0.135568908,22.8403613,24.442225
134,324,6-9yo,9.92,3,-0.106763063,59.18432411,12.83396667
135,324,6-9yo,9.92,4,-0.269279608,62.67277556,11.2033
136,324,6-9yo,9.92,5,0.986219322,65.05201248,11.03629167
137,324,6-9yo,9.92,6,-0.438210588,77.35321577,6.965366667
138,239,10-12yo,12.67,1,-0.210116945,79.97086354,6.4464
139,239,10-12yo,12.67,2,-0.019416197,67.03409133,10.70315
140,239,10-12yo,12.67,3,0.230564428,62.72843011,12.32809167
141,239,10-12yo,12.67,4,0.394271122,80.50987316,6.134875
142,239,10-12yo,12.67,5,0.225164646,77.65731607,7.173683333
143,239,10-12yo,12.67,6,0.001767121,68.80940913,9.935266667
144,247,10-12yo,12.67,1,0.093280366,59.22304138,13.10179167
145,247,10-12yo,12.67,2,-0.254441547,80.11631034,6.257458333
146,247,10-12yo,12.67,3,0.596395548,75.75738132,7.781758333
147,247,10-12yo,12.67,4,-0.290745205,85.07127291,4.72925
148,247,10-12yo,12.67,5,-0.490063723,51.00019422,15.93369167
149,247,10-12yo,12.67,6,0.373831955,73.41105246,8.669591667
150,220,10-12yo,11.67,1,0.741553126,4.396805077,29.34028333
151,220,10-12yo,11.67,2,0.633442845,46.84517893,16.94446667
152,220,10-12yo,11.67,3,-0.35757575,47.62422312,15.70191667
153,220,10-12yo,11.67,4,-0.231258311,74.78925166,7.68075
154,220,10-12yo,11.67,5,0.019336595,56.54396093,13.03450833
155,220,10-12yo,11.67,6,-0.346709731,41.04564058,18.49215833
156,243,10-12yo,11.5,1,-0.77532791,34.48716144,21.22414167
157,243,10-12yo,11.5,2,0.087644049,35.82031804,20.19764167
158,243,10-12yo,11.5,3,1.510452277,37.71638611,19.83028333
159,243,10-12yo,11.5,4,0.312125263,46.90633238,16.48765
160,243,10-12yo,11.5,5,-0.929275404,40.33859322,19.30956667
161,243,10-12yo,11.5,6,-0.014382639,41.5187231,18.69781667
162,281,10-12yo,10.75,1,-0.241780709,48.31482245,16.66853333
163,281,10-12yo,10.75,2,-0.587197528,34.13550886,20.55835
164,281,10-12yo,10.75,3,-0.158948456,40.08576052,19.24203333
165,281,10-12yo,10.75,4,-0.405442514,51.90453682,15.293225
166,281,10-12yo,10.75,5,0.125256123,28.84135347,22.82426667
167,281,10-12yo,10.75,6,0.564515833,54.78465331,14.38328333
168,251,10-12yo,11.33,1,-0.159795808,62.34901364,12.14930833
169,251,10-12yo,11.33,2,0.134242027,77.30881717,7.21635
170,251,10-12yo,11.33,3,0.036070518,73.33630693,8.477383333
171,251,10-12yo,11.33,4,0.078330204,79.3770536,6.609991667
172,251,10-12yo,11.33,5,0.389735655,73.97488918,8.305241667
173,251,10-12yo,11.33,6,0.665266949,72.16304026,8.675116667
174,322,10-12yo,12.25,1,0.324288173,31.06654548,21.691325
175,322,10-12yo,12.25,2,-0.156271748,69.54222222,9.434641667
176,322,10-12yo,12.25,3,-0.628182502,66.90418414,10.61796667
177,322,10-12yo,12.25,4,0.364156044,69.29577873,9.338483333
178,322,10-12yo,12.25,5,-1.017900402,65.79469002,10.91999167
179,322,10-12yo,12.25,6,-0.558503782,70.00347247,9.029366667
180,327,10-12yo,10.75,1,-0.304173514,55.21095786,14.54460833
181,327,10-12yo,10.75,2,0.334556167,80.61546996,6.302091667
182,327,10-12yo,10.75,3,1.129368704,88.26913682,3.760791667
183,327,10-12yo,10.75,4,-0.317044838,87.83665783,3.871066667
184,327,10-12yo,10.75,5,0.992873124,78.72278371,7.016208333
185,327,10-12yo,10.75,6,0.132351141,80.21431034,6.443041667
186,314,10-12yo,11.42,1,-0.73828947,32.75789414,20.60145
187,314,10-12yo,11.42,2,0.366280493,21.68046068,24.43345833
188,314,10-12yo,11.42,3,-0.246857661,1.589306734,30.36861667
189,314,10-12yo,11.42,4,0.397131598,68.41329511,9.769083333
190,314,10-12yo,11.42,5,-0.024327896,13.42931299,26.99976667
191,314,10-12yo,11.42,6,-0.348212247,76.35472307,7.390275
192,336,10-12yo,10.67,1,-0.490900683,65.73692957,10.61635833
193,336,10-12yo,10.67,2,0.76059733,75.09795598,7.509883333
194,336,10-12yo,10.67,3,0.087651035,81.63354606,5.767191667
195,336,10-12yo,10.67,4,1.189938699,65.11664856,10.52458333
196,336,10-12yo,10.67,5,0.47128563,82.2165156,5.531541667
197,336,10-12yo,10.67,6,-0.448124796,75.20750854,7.970891667
198,250,10-12yo,11.67,1,0.38782897,47.4076823,16.70140833
199,250,10-12yo,11.67,2,-0.15488032,54.9127254,13.91140833
200,250,10-12yo,11.67,3,-0.540030294,67.0922254,10.57444167
201,250,10-12yo,11.67,4,0.343238383,73.83526257,7.952208333
202,250,10-12yo,11.67,5,-0.23835511,69.38889487,9.489591667
203,250,10-12yo,11.67,6,-0.208851977,73.92322756,8.100741667
204,310,10-12yo,11.83,1,-0.03330409,65.26795463,10.678125
205,310,10-12yo,11.83,2,-0.087061973,73.01310728,8.231541667
206,310,10-12yo,11.83,3,-0.530573532,38.40828695,19.308025
207,310,10-12yo,11.83,4,-0.734668615,48.53219392,15.74565
208,310,10-12yo,11.83,5,-0.338263018,45.46152857,17.34945833
209,310,10-12yo,11.83,6,-0.465455024,37.36809872,19.513625
210,308,10-12yo,12.42,1,-0.254917932,77.87292152,6.978075
211,308,10-12yo,12.42,2,0.067156507,90.03667748,3.007408333
