Subject,AgeGroup,Run,Item,PC1,PC2,PC3
222,6-9yo,1,1,1.3914402,1.732699,3.3065405
222,6-9yo,2,1,-0.42827088,-0.9657118,2.7835424
222,6-9yo,3,1,0.8221221,-4.1199217,-3.057124
222,6-9yo,4,1,-4.162709,-5.353509,-0.7601217
222,6-9yo,5,1,2.229468,4.539522,1.1398417
222,6-9yo,6,1,-4.1276803,-3.6918073,-0.66390336
222,6-9yo,1,2,-4.9324317,-3.4057746,0.1363192
222,6-9yo,2,2,4.677273,-0.6310066,-0.8989272
222,6-9yo,3,2,6.8717833,2.4198606,0.87408334
222,6-9yo,4,2,-3.729726,5.6783605,-0.61864644
222,6-9yo,5,2,-4.255526,0.8178254,-2.5940275
222,6-9yo,6,2,-1.9924021,4.588726,-1.3957803
222,6-9yo,1,3,4.9443836,-2.656319,-1.3800354
222,6-9yo,2,3,-1.0572377,3.5765119,-0.2898109
222,6-9yo,3,3,-4.8430023,4.2141333,-1.3706402
222,6-9yo,4,3,2.248716,-0.21414445,3.9036572
222,6-9yo,5,3,-2.2794132,-2.494421,3.0131364
222,6-9yo,6,3,1.044545,0.38295284,3.9631293
222,6-9yo,1,4,-1.4033923,4.3293943,-2.0628245
222,6-9yo,2,4,-3.1917644,-1.9797927,-1.594804
222,6-9yo,3,4,-2.850903,-2.5140722,3.5536819
222,6-9yo,4,4,5.6437187,-0.11070738,-2.5248885
222,6-9yo,5,4,4.305472,-2.862927,-1.5589496
222,6-9yo,6,4,5.075537,-1.27987,-1.9034452
211,6-9yo,1,1,6.0059457,-1.8994784,-1.0671319
211,6-9yo,2,1,6.3613253,0.35178626,0.18545815
211,6-9yo,3,1,-2.7387576,5.7617445,-0.11084405
211,6-9yo,4,1,8.131157,-2.2784903,-0.52294886
211,6-9yo,5,1,-3.379151,-2.5292962,-1.2456732
211,6-9yo,6,1,-3.0737927,-3.130898,2.3239639
211,6-9yo,1,2,0.32807294,4.7451935,-0.30754802
211,6-9yo,2,2,-1.5499178,-3.6666093,-1.8743263
211,6-9yo,3,2,-1.1297622,-2.3876984,4.412941
211,6-9yo,4,2,-3.1429975,-1.51039,2.3243036
211,6-9yo,5,2,-3.7430644,2.7287743,0.4350695
211,6-9yo,6,2,3.041664,3.9389594,1.7587999
211,6-9yo,1,3,-4.978769,-1.6543971,-2.3107574
211,6-9yo,2,3,-2.4134753,-1.7989911,2.2529538
211,6-9yo,3,3,7.6388316,0.03166614,-1.0113149
211,6-9yo,4,3,1.2895865,4.964132,0.03290696
211,6-9yo,5,3,2.3254995,-1.0617979,2.617762
211,6-9yo,6,3,3.9435298,-3.1528442,-1.8046786
211,6-9yo,1,4,-1.3552507,-1.191318,3.6854377
211,6-9yo,2,4,-2.3979347,5.113814,-0.5640838
211,6-9yo,3,4,-3.7703106,-3.4057124,-3.2907808
211,6-9yo,4,4,-6.2777467,-1.1752517,-1.8342606
211,6-9yo,5,4,4.796716,0.86232114,-1.8071588
211,6-9yo,6,4,-3.9114013,2.3447835,-2.2780848
351,6-9yo,1,1,-2.6332104,1.9584328,2.8810387
351,6-9yo,2,1,-2.063475,-0.010577513,3.1081712
351,6-9yo,3,1,-0.671795,5.188454,-2.5126555
351,6-9yo,4,1,-1.6792797,1.4610909,3.8502107
351,6-9yo,5,1,-4.452498,-3.910745,-1.9562224
351,6-9yo,6,1,-0.7499542,-1.938364,3.7932367
351,6-9yo,1,2,-3.2196567,-3.1154418,-1.7297938
351,6-9yo,2,2,-3.0863478,3.4223495,-1.3943588
351,6-9yo,3,2,-1.0111967,-4.7529874,-2.9673986
351,6-9yo,4,2,6.931089,-1.5879697,-0.20226574
351,6-9yo,5,2,-2.1005247,5.326867,-1.3641653
351,6-9yo,6,2,-4.653592,-1.4328561,-2.373571
351,6-9yo,1,3,1.4615346,3.3976753,-2.4139981
351,6-9yo,2,3,8.363215,-0.036507692,-0.2934366
351,6-9yo,3,3,6.7761397,-0.29812586,1.9564872
351,6-9yo,4,3,-1.1887455,4.862175,-2.4194703
351,6-9yo,5,3,6.282477,-0.9714424,-2.0748494
351,6-9yo,6,3,5.136369,-1.852947,-1.6063408
351,6-9yo,1,4,4.391332,-2.2406664,1.2627543
351,6-9yo,2,4,-3.2133944,-3.3752642,-1.4203764
