,subject,age_group,run,path
0,222,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_222/moshiGO_222_run-1_pca12_varExpl_MNI.nii.gz
1,222,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_222/moshiGO_222_run-2_pca12_varExpl_MNI.nii.gz
2,222,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_222/moshiGO_222_run-3_pca12_varExpl_MNI.nii.gz
3,211,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_211/moshiGO_211_run-1_pca12_varExpl_MNI.nii.gz
4,211,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_211/moshiGO_211_run-2_pca12_varExpl_MNI.nii.gz
5,211,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_211/moshiGO_211_run-3_pca12_varExpl_MNI.nii.gz
6,351,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_351/moshiGO_351_run-1_pca12_varExpl_MNI.nii.gz
7,351,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_351/moshiGO_351_run-2_pca12_varExpl_MNI.nii.gz
8,351,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_351/moshiGO_351_run-3_pca12_varExpl_MNI.nii.gz
9,298,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_298/moshiGO_298_run-1_pca12_varExpl_MNI.nii.gz
10,298,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_298/moshiGO_298_run-2_pca12_varExpl_MNI.nii.gz
11,298,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_298/moshiGO_298_run-3_pca12_varExpl_MNI.nii.gz
12,226,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_226/moshiGO_226_run-1_pca12_varExpl_MNI.nii.gz
13,226,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_226/moshiGO_226_run-2_pca12_varExpl_MNI.nii.gz
14,226,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_226/moshiGO_226_run-3_pca12_varExpl_MNI.nii.gz
15,323,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_323/moshiGO_323_run-1_pca12_varExpl_MNI.nii.gz
16,323,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_323/moshiGO_323_run-2_pca12_varExpl_MNI.nii.gz
17,323,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_323/moshiGO_323_run-3_pca12_varExpl_MNI.nii.gz
18,341,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_341/moshiGO_341_run-1_pca12_varExpl_MNI.nii.gz
19,341,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_341/moshiGO_341_run-2_pca12_varExpl_MNI.nii.gz
20,341,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_341/moshiGO_341_run-3_pca12_varExpl_MNI.nii.gz
21,229,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_229/moshiGO_229_run-1_pca12_varExpl_MNI.nii.gz
22,229,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_229/moshiGO_229_run-2_pca12_varExpl_MNI.nii.gz
23,229,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_229/moshiGO_229_run-3_pca12_varExpl_MNI.nii.gz
24,279,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_279/moshiGO_279_run-1_pca12_varExpl_MNI.nii.gz
25,279,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_279/moshiGO_279_run-2_pca12_varExpl_MNI.nii.gz
26,279,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_279/moshiGO_279_run-3_pca12_varExpl_MNI.nii.gz
27,282,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_282/moshiGO_282_run-1_pca12_varExpl_MNI.nii.gz
28,282,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_282/moshiGO_282_run-2_pca12_varExpl_MNI.nii.gz
29,282,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_282/moshiGO_282_run-3_pca12_varExpl_MNI.nii.gz
30,350,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_350/moshiGO_350_run-1_pca12_varExpl_MNI.nii.gz
31,350,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_350/moshiGO_350_run-2_pca12_varExpl_MNI.nii.gz
32,350,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_350/moshiGO_350_run-3_pca12_varExpl_MNI.nii.gz
33,212,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_212/moshiGO_212_run-1_pca12_varExpl_MNI.nii.gz
34,212,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_212/moshiGO_212_run-2_pca12_varExpl_MNI.nii.gz
35,212,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_212/moshiGO_212_run-3_pca12_varExpl_MNI.nii.gz
36,240,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_240/moshiGO_240_run-1_pca12_varExpl_MNI.nii.gz
37,240,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_240/moshiGO_240_run-2_pca12_varExpl_MNI.nii.gz
38,240,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_240/moshiGO_240_run-3_pca12_varExpl_MNI.nii.gz
39,262,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_262/moshiGO_262_run-1_pca12_varExpl_MNI.nii.gz
40,262,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_262/moshiGO_262_run-2_pca12_varExpl_MNI.nii.gz
41,262,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_262/moshiGO_262_run-3_pca12_varExpl_MNI.nii.gz
42,297,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_297/moshiGO_297_run-1_pca12_varExpl_MNI.nii.gz
43,297,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_297/moshiGO_297_run-2_pca12_varExpl_MNI.nii.gz
44,297,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_297/moshiGO_297_run-3_pca12_varExpl_MNI.nii.gz
45,280,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_280/moshiGO_280_run-1_pca12_varExpl_MNI.nii.gz
46,280,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_280/moshiGO_280_run-2_pca12_varExpl_MNI.nii.gz
47,280,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_280/moshiGO_280_run-3_pca12_varExpl_MNI.nii.gz
48,329,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_329/moshiGO_329_run-1_pca12_varExpl_MNI.nii.gz
49,329,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_329/moshiGO_329_run-2_pca12_varExpl_MNI.nii.gz
50,329,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_329/moshiGO_329_run-3_pca12_varExpl_MNI.nii.gz
51,253,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_253/moshiGO_253_run-1_pca12_varExpl_MNI.nii.gz
52,253,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_253/moshiGO_253_run-2_pca12_varExpl_MNI.nii.gz
53,253,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_253/moshiGO_253_run-3_pca12_varExpl_MNI.nii.gz
54,268,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_268/moshiGO_268_run-1_pca12_varExpl_MNI.nii.gz
55,268,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_268/moshiGO_268_run-2_pca12_varExpl_MNI.nii.gz
56,268,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_268/moshiGO_268_run-3_pca12_varExpl_MNI.nii.gz
57,221,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_221/moshiGO_221_run-1_pca12_varExpl_MNI.nii.gz
58,221,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_221/moshiGO_221_run-2_pca12_varExpl_MNI.nii.gz
59,221,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_221/moshiGO_221_run-3_pca12_varExpl_MNI.nii.gz
60,343,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_343/moshiGO_343_run-1_pca12_varExpl_MNI.nii.gz
61,343,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_343/moshiGO_343_run-2_pca12_varExpl_MNI.nii.gz
62,343,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_343/moshiGO_343_run-3_pca12_varExpl_MNI.nii.gz
63,273,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_273/moshiGO_273_run-1_pca12_varExpl_MNI.nii.gz
64,273,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_273/moshiGO_273_run-2_pca12_varExpl_MNI.nii.gz
65,273,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_273/moshiGO_273_run-3_pca12_varExpl_MNI.nii.gz
66,324,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_324/moshiGO_324_run-1_pca12_varExpl_MNI.nii.gz
67,324,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_324/moshiGO_324_run-2_pca12_varExpl_MNI.nii.gz
68,324,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_324/moshiGO_324_run-3_pca12_varExpl_MNI.nii.gz
69,289,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_289/moshiGO_289_run-1_pca12_varExpl_MNI.nii.gz
70,289,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_289/moshiGO_289_run-2_pca12_varExpl_MNI.nii.gz
71,289,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_289/moshiGO_289_run-3_pca12_varExpl_MNI.nii.gz
72,230,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_230/moshiGO_230_run-1_pca12_varExpl_MNI.nii.gz
73,230,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_230/moshiGO_230_run-2_pca12_varExpl_MNI.nii.gz
74,230,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_230/moshiGO_230_run-3_pca12_varExpl_MNI.nii.gz
75,285,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_285/moshiGO_285_run-1_pca12_varExpl_MNI.nii.gz
76,285,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_285/moshiGO_285_run-2_pca12_varExpl_MNI.nii.gz
77,285,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_285/moshiGO_285_run-3_pca12_varExpl_MNI.nii.gz
78,294,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_294/moshiGO_294_run-1_pca12_varExpl_MNI.nii.gz
79,294,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_294/moshiGO_294_run-2_pca12_varExpl_MNI.nii.gz
80,294,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_294/moshiGO_294_run-3_pca12_varExpl_MNI.nii.gz
81,345,6-9yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_345/moshiGO_345_run-1_pca12_varExpl_MNI.nii.gz
82,345,6-9yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_345/moshiGO_345_run-2_pca12_varExpl_MNI.nii.gz
83,345,6-9yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_345/moshiGO_345_run-3_pca12_varExpl_MNI.nii.gz
84,239,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_239/moshiGO_239_run-1_pca12_varExpl_MNI.nii.gz
85,239,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_239/moshiGO_239_run-2_pca12_varExpl_MNI.nii.gz
86,239,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_239/moshiGO_239_run-3_pca12_varExpl_MNI.nii.gz
87,247,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_247/moshiGO_247_run-1_pca12_varExpl_MNI.nii.gz
88,247,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_247/moshiGO_247_run-2_pca12_varExpl_MNI.nii.gz
89,247,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_247/moshiGO_247_run-3_pca12_varExpl_MNI.nii.gz
90,220,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_220/moshiGO_220_run-1_pca12_varExpl_MNI.nii.gz
91,220,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_220/moshiGO_220_run-2_pca12_varExpl_MNI.nii.gz
92,220,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_220/moshiGO_220_run-3_pca12_varExpl_MNI.nii.gz
93,243,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_243/moshiGO_243_run-1_pca12_varExpl_MNI.nii.gz
94,243,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_243/moshiGO_243_run-2_pca12_varExpl_MNI.nii.gz
95,243,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_243/moshiGO_243_run-3_pca12_varExpl_MNI.nii.gz
96,281,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_281/moshiGO_281_run-1_pca12_varExpl_MNI.nii.gz
97,281,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_281/moshiGO_281_run-2_pca12_varExpl_MNI.nii.gz
98,281,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_281/moshiGO_281_run-3_pca12_varExpl_MNI.nii.gz
99,251,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_251/moshiGO_251_run-1_pca12_varExpl_MNI.nii.gz
100,251,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_251/moshiGO_251_run-2_pca12_varExpl_MNI.nii.gz
101,251,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_251/moshiGO_251_run-3_pca12_varExpl_MNI.nii.gz
102,322,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_322/moshiGO_322_run-1_pca12_varExpl_MNI.nii.gz
103,322,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_322/moshiGO_322_run-2_pca12_varExpl_MNI.nii.gz
104,322,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_322/moshiGO_322_run-3_pca12_varExpl_MNI.nii.gz
105,327,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_327/moshiGO_327_run-1_pca12_varExpl_MNI.nii.gz
106,327,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_327/moshiGO_327_run-2_pca12_varExpl_MNI.nii.gz
107,327,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_327/moshiGO_327_run-3_pca12_varExpl_MNI.nii.gz
108,314,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_314/moshiGO_314_run-1_pca12_varExpl_MNI.nii.gz
109,314,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_314/moshiGO_314_run-2_pca12_varExpl_MNI.nii.gz
110,314,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_314/moshiGO_314_run-3_pca12_varExpl_MNI.nii.gz
111,336,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_336/moshiGO_336_run-1_pca12_varExpl_MNI.nii.gz
112,336,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_336/moshiGO_336_run-2_pca12_varExpl_MNI.nii.gz
113,336,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_336/moshiGO_336_run-3_pca12_varExpl_MNI.nii.gz
114,250,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_250/moshiGO_250_run-1_pca12_varExpl_MNI.nii.gz
115,250,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_250/moshiGO_250_run-2_pca12_varExpl_MNI.nii.gz
116,250,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_250/moshiGO_250_run-3_pca12_varExpl_MNI.nii.gz
117,310,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_310/moshiGO_310_run-1_pca12_varExpl_MNI.nii.gz
118,310,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_310/moshiGO_310_run-2_pca12_varExpl_MNI.nii.gz
119,310,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_310/moshiGO_310_run-3_pca12_varExpl_MNI.nii.gz
120,308,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_308/moshiGO_308_run-1_pca12_varExpl_MNI.nii.gz
121,308,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_308/moshiGO_308_run-2_pca12_varExpl_MNI.nii.gz
122,308,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_308/moshiGO_308_run-3_pca12_varExpl_MNI.nii.gz
123,331,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_331/moshiGO_331_run-1_pca12_varExpl_MNI.nii.gz
124,331,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_331/moshiGO_331_run-2_pca12_varExpl_MNI.nii.gz
125,331,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_331/moshiGO_331_run-3_pca12_varExpl_MNI.nii.gz
126,339,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_339/moshiGO_339_run-1_pca12_varExpl_MNI.nii.gz
127,339,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_339/moshiGO_339_run-2_pca12_varExpl_MNI.nii.gz
128,339,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_339/moshiGO_339_run-3_pca12_varExpl_MNI.nii.gz
129,320,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-1_pca12_varExpl_MNI.nii.gz
130,320,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-2_pca12_varExpl_MNI.nii.gz
131,320,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-3_pca12_varExpl_MNI.nii.gz
132,246,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-1_pca12_varExpl_MNI.nii.gz
133,246,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-2_pca12_varExpl_MNI.nii.gz
134,246,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-3_pca12_varExpl_MNI.nii.gz
135,208,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-1_pca12_varExpl_MNI.nii.gz
136,208,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-2_pca12_varExpl_MNI.nii.gz
