Subject,AgeGroup,Run,Item,PC1,PC2
222,6-9yo,1,1,17.920996,3.3152797
222,6-9yo,2,1,-8.513693,-1.7800984
222,6-9yo,3,1,-8.535905,10.305795
222,6-9yo,1,2,3.9028811,-6.29178
222,6-9yo,2,2,-4.3318863,-2.687502
222,6-9yo,3,2,11.729251,-4.459852
222,6-9yo,1,3,-10.802682,-9.393399
222,6-9yo,2,3,2.8893526,10.086156
222,6-9yo,3,3,-11.024761,-9.86743
222,6-9yo,1,4,-11.021189,12.369895
222,6-9yo,2,4,9.956225,-5.618556
222,6-9yo,3,4,7.831416,4.0214863
211,6-9yo,1,1,14.522558,-8.357983
211,6-9yo,2,1,-12.911888,-0.043134566
211,6-9yo,3,1,2.442722,17.045197
211,6-9yo,1,2,11.374214,10.145433
211,6-9yo,2,2,-8.443428,-4.3837247
211,6-9yo,3,2,-3.0826473,0.11561773
211,6-9yo,1,3,-11.476297,-6.722758
211,6-9yo,2,3,14.338077,-9.375289
211,6-9yo,3,3,15.179067,-9.784699
211,6-9yo,1,4,-14.420479,4.935304
211,6-9yo,2,4,7.0172396,13.802151
211,6-9yo,3,4,-14.539139,-7.376115
351,6-9yo,1,1,17.488634,-5.0111346
351,6-9yo,2,1,-13.174752,-10.030676
351,6-9yo,3,1,14.624908,-4.1069927
351,6-9yo,1,2,0.9089234,9.585967
351,6-9yo,2,2,2.178531,-5.065574
351,6-9yo,3,2,-4.282321,13.463097
351,6-9yo,1,3,-4.782643,1.8838893
351,6-9yo,2,3,17.855354,-0.71087724
351,6-9yo,3,3,3.6094768,-0.7299726
351,6-9yo,1,4,-13.614906,-6.4587274
351,6-9yo,2,4,-6.8591347,15.807122
351,6-9yo,3,4,-13.952065,-8.62614
298,6-9yo,1,1,-5.2936745,8.734342
298,6-9yo,2,1,-5.4107237,-5.736512
298,6-9yo,3,1,-0.9388004,7.706751
298,6-9yo,1,2,11.050683,1.7934421
298,6-9yo,2,2,9.0419655,-3.750754
298,6-9yo,3,2,10.689778,-5.17101
298,6-9yo,1,3,2.3994894,-5.6320553
298,6-9yo,2,3,4.562724,6.319345
298,6-9yo,3,3,0.43310165,3.455511
298,6-9yo,1,4,-8.156501,-4.895728
298,6-9yo,2,4,-8.193973,3.1679235
298,6-9yo,3,4,-10.184082,-5.991257
226,6-9yo,1,1,-14.816096,-3.8035498
226,6-9yo,2,1,3.9834976,-15.169799
226,6-9yo,3,1,22.500992,-1.011437
226,6-9yo,1,2,22.531876,-4.6981354
226,6-9yo,2,2,-10.083964,-11.992897
226,6-9yo,3,2,5.5990005,-7.023131
226,6-9yo,1,3,-6.9362273,-9.117182
226,6-9yo,2,3,-17.219213,17.1177
226,6-9yo,3,3,-7.630033,17.644043
226,6-9yo,1,4,-0.77955204,17.618868
226,6-9yo,2,4,23.319675,10.045002
226,6-9yo,3,4,-20.469957,-9.609471
323,6-9yo,1,1,3.4689085,10.7798395
323,6-9yo,2,1,12.823567,-4.9054227
323,6-9yo,3,1,13.297614,-1.971099
323,6-9yo,1,2,13.662572,-4.5301847
323,6-9yo,2,2,-10.143536,3.8351192
323,6-9yo,3,2,-3.350593,11.037638
323,6-9yo,1,3,-10.71048,3.6436355
323,6-9yo,2,3,3.452676,11.305806
323,6-9yo,3,3,-7.5504365,-8.045401
323,6-9yo,1,4,-6.4210005,-9.893287
323,6-9yo,2,4,-6.1327114,-10.235507
323,6-9yo,3,4,-2.396582,-1.0211426
341,6-9yo,1,1,18.614244,-10.1066265
341,6-9yo,2,1,-10.676957,-9.381442
341,6-9yo,3,1,-9.646921,16.499073
341,6-9yo,1,2,-17.35849,-11.507278
341,6-9yo,2,2,-6.3180685,12.999372
341,6-9yo,3,2,3.4563236,-4.091583
341,6-9yo,1,3,-0.85048014,6.4287868
341,6-9yo,2,3,3.737028,-3.143808
341,6-9yo,3,3,-13.085291,-12.745898
341,6-9yo,1,4,-0.4052761,15.185117
341,6-9yo,2,4,13.257993,-0.4741181
341,6-9yo,3,4,19.275892,0.33841395
229,6-9yo,1,1,-5.3681064,-1.1739175
229,6-9yo,2,1,-8.410061,7.8749056
229,6-9yo,3,1,-4.4369197,10.419707
229,6-9yo,1,2,-0.6083975,12.086567
229,6-9yo,2,2,-1.3626485,-5.771039
229,6-9yo,3,2,10.839049,0.33299604
