Subject,AgeGroup,Run,Item,PC1,PC2
222,6-9yo,1,1,6.0949388,-4.6066465
222,6-9yo,2,1,-3.5781863,-4.1918206
222,6-9yo,3,1,-1.4966708,-3.797463
222,6-9yo,4,1,8.570197,-2.0665855
222,6-9yo,5,1,-5.5581408,2.213652
222,6-9yo,6,1,5.9096475,-2.7226086
222,6-9yo,1,2,-5.4995723,-2.5553834
222,6-9yo,2,2,-0.3654485,4.501625
222,6-9yo,3,2,8.40725,0.57309455
222,6-9yo,4,2,-2.115301,-3.073479
222,6-9yo,5,2,7.20529,-2.2472417
222,6-9yo,6,2,-5.508083,0.9973278
222,6-9yo,1,3,2.7934737,6.1942315
222,6-9yo,2,3,7.0409837,-1.4118266
222,6-9yo,3,3,-3.5156846,-3.6813583
222,6-9yo,4,3,-0.08899537,6.9988084
222,6-9yo,5,3,2.2800224,4.6120243
222,6-9yo,6,3,3.4468777,3.868599
222,6-9yo,1,4,-3.3888404,0.9677968
222,6-9yo,2,4,-3.0973475,1.1020235
222,6-9yo,3,4,-3.3948915,6.905728
222,6-9yo,4,4,-6.3659005,-1.8587441
222,6-9yo,5,4,-3.927172,-4.578434
222,6-9yo,6,4,-3.8484423,-2.1433172
211,6-9yo,1,1,-8.891927,-4.4173856
211,6-9yo,2,1,-5.186204,2.2738605
211,6-9yo,3,1,1.8739154,7.2253437
211,6-9yo,4,1,6.762167,0.5915622
211,6-9yo,5,1,-3.6734297,-3.7482054
211,6-9yo,6,1,-7.7447033,5.209012
211,6-9yo,1,2,-4.0161433,2.142261
211,6-9yo,2,2,5.8199563,-2.729265
211,6-9yo,3,2,-5.375519,-0.47616103
211,6-9yo,4,2,-5.8813086,-5.007013
211,6-9yo,5,2,-3.086353,5.140324
211,6-9yo,6,2,11.093366,2.564154
211,6-9yo,1,3,3.7107441,9.40486
211,6-9yo,2,3,-3.6873581,-3.8994849
211,6-9yo,3,3,-4.584768,-3.0365944
211,6-9yo,4,3,4.2324204,-1.163166
211,6-9yo,5,3,6.0123787,0.59574133
211,6-9yo,6,3,5.754739,-3.9618065
211,6-9yo,1,4,9.197326,-7.1297336
211,6-9yo,2,4,3.0536058,4.3548894
211,6-9yo,3,4,8.0863695,-3.7125883
211,6-9yo,4,4,-5.1132812,5.5786138
211,6-9yo,5,4,0.7474042,-1.9878592
211,6-9yo,6,4,-9.1034,-3.8113594
351,6-9yo,1,1,-3.3633685,-1.5064949
351,6-9yo,2,1,-2.6918578,-1.2719831
351,6-9yo,3,1,7.485573,1.5676087
351,6-9yo,4,1,-2.2827356,-1.995885
351,6-9yo,5,1,2.3495767,4.198956
351,6-9yo,6,1,1.2239436,5.4095426
351,6-9yo,1,2,6.3632293,0.09880067
351,6-9yo,2,2,-3.8366053,0.44186133
351,6-9yo,3,2,-4.1083875,5.094559
351,6-9yo,4,2,6.9630723,0.26476306
351,6-9yo,5,2,-4.25601,1.3850906
351,6-9yo,6,2,7.0537605,-2.11902
351,6-9yo,1,3,-2.0528433,3.9449944
351,6-9yo,2,3,3.8817022,-3.1790023
351,6-9yo,3,3,0.21841791,-3.8695502
351,6-9yo,4,3,-2.6965125,4.160866
351,6-9yo,5,3,4.7418065,-2.6135936
351,6-9yo,6,3,-2.5904,-3.3543565
351,6-9yo,1,4,-0.9470183,-2.5372994
351,6-9yo,2,4,2.6467597,4.0091248
351,6-9yo,3,4,-3.595603,-2.7926195
351,6-9yo,4,4,-1.9838231,-2.429743
