Subject,AgeGroup,Run,Item,PC1,PC2
222,6-9yo,1,1,-3.307245,-2.6333122
222,6-9yo,2,1,4.319875,2.7960224
222,6-9yo,3,1,-3.5123491,-4.624421
222,6-9yo,4,1,10.329009,1.8073627
222,6-9yo,5,1,-5.6490264,0.7418947
222,6-9yo,6,1,7.1982236,-4.4536805
222,6-9yo,1,2,-3.8447614,-5.5067487
222,6-9yo,2,2,4.7633195,-2.8471239
222,6-9yo,3,2,-1.7777034,6.937651
222,6-9yo,4,2,1.8474815,-6.4840317
222,6-9yo,5,2,-3.9047902,-7.027175
222,6-9yo,6,2,-4.23969,2.1160045
222,6-9yo,1,3,-3.699189,8.124221
222,6-9yo,2,3,-4.719252,-4.80229
222,6-9yo,3,3,-4.32694,-1.315036
222,6-9yo,4,3,-3.7743692,7.045497
222,6-9yo,5,3,10.425478,-1.5729688
222,6-9yo,6,3,-5.437965,-4.45016
222,6-9yo,1,4,10.851194,0.015842112
222,6-9yo,2,4,-4.363941,4.8533916
222,6-9yo,3,4,9.616993,-0.99819064
222,6-9yo,4,4,-8.402121,-2.3688269
222,6-9yo,5,4,-0.8716585,7.8582506
222,6-9yo,6,4,2.4794312,6.7878375
211,6-9yo,1,1,-7.9874134,1.6826475
211,6-9yo,2,1,11.558362,-6.716514
211,6-9yo,3,1,-10.896044,-9.311966
211,6-9yo,4,1,12.478581,-6.0586343
211,6-9yo,5,1,15.86311,-0.62782377
211,6-9yo,6,1,-7.282844,-3.85229
211,6-9yo,1,2,-4.5087614,-7.5748606
211,6-9yo,2,2,3.5394027,7.928727
211,6-9yo,3,2,-0.36414734,1.4657767
211,6-9yo,4,2,-3.1711757,1.6440294
211,6-9yo,5,2,-3.7599218,8.532123
211,6-9yo,6,2,3.186538,9.539821
211,6-9yo,1,3,10.834115,-3.3260243
211,6-9yo,2,3,-10.347609,-7.826906
211,6-9yo,3,3,14.482388,-4.2727814
211,6-9yo,4,3,1.2442533,10.800187
211,6-9yo,5,3,-6.722035,0.36907518
211,6-9yo,6,3,10.9884,-5.461462
211,6-9yo,1,4,1.662062,9.218236
211,6-9yo,2,4,-4.750156,6.6146936
211,6-9yo,3,4,-3.2221985,12.118976
211,6-9yo,4,4,-10.55166,-6.3855815
211,6-9yo,5,4,-5.381154,-8.273372
211,6-9yo,6,4,-6.892094,-0.22606964
351,6-9yo,1,1,-3.4131958,-5.0863757
351,6-9yo,2,1,2.2378993,2.657694
351,6-9yo,3,1,10.977795,-4.4948387
351,6-9yo,4,1,-2.5181272,-4.5792036
351,6-9yo,5,1,7.3767743,-6.336189
351,6-9yo,6,1,0.5963421,-3.872212
351,6-9yo,1,2,-5.2182417,8.447609
351,6-9yo,2,2,-7.6816964,-5.486907
351,6-9yo,3,2,-4.395933,3.8416572
351,6-9yo,4,2,9.964057,0.22067365
351,6-9yo,5,2,3.904824,9.209018
351,6-9yo,6,2,-6.7784085,-2.8055077
351,6-9yo,1,3,-2.1416824,-4.8728437
351,6-9yo,2,3,8.547665,-3.3742247
351,6-9yo,3,3,1.2555718,7.846724
351,6-9yo,4,3,-3.9077039,-4.578312
351,6-9yo,5,3,-7.1660495,0.3416489
351,6-9yo,6,3,7.17615,-1.2324626
351,6-9yo,1,4,10.773121,1.5116107
351,6-9yo,2,4,-3.1038687,6.2034388
351,6-9yo,3,4,-7.837437,-7.1935444
351,6-9yo,4,4,-3.5382245,8.936841
351,6-9yo,5,4,-4.1155453,-3.214478
351,6-9yo,6,4,-0.9940827,7.910183
298,6-9yo,1,1,-3.303325,-0.921349
298,6-9yo,2,1,-2.5220451,-0.35516387
298,6-9yo,3,1,-4.943182,-1.5201569
298,6-9yo,4,1,5.430763,0.6648659
298,6-9yo,5,1,-2.1962218,8.665162
298,6-9yo,6,1,11.230269,-2.0186758
298,6-9yo,1,2,-5.5553384,-1.3829383
298,6-9yo,2,2,8.216372,-0.37253448
298,6-9yo,3,2,10.272578,0.8365724
298,6-9yo,4,2,-6.4741836,7.5118227
298,6-9yo,5,2,1.5825137,-3.623821
298,6-9yo,6,2,-1.3481076,9.269288
298,6-9yo,1,3,6.6463223,-3.5688195
298,6-9yo,2,3,-3.1949449,-5.727644
298,6-9yo,3,3,-3.5328743,8.56975
298,6-9yo,4,3,-7.6476135,-7.104999
298,6-9yo,5,3,9.193176,-1.0401746
298,6-9yo,6,3,-6.811009,-3.4489367
298,6-9yo,1,4,2.2123415,5.8731074
298,6-9yo,2,4,-2.4993808,6.4553437
298,6-9yo,3,4,-1.7965233,-7.8861666
298,6-9yo,4,4,8.691034,-1.0716895
298,6-9yo,5,4,-8.579465,-4.001166
298,6-9yo,6,4,-3.071155,-3.8016717
226,6-9yo,1,1,8.6843195,-2.965827
226,6-9yo,2,1,0.43479982,4.101364
226,6-9yo,3,1,-6.3927817,3.9452853
226,6-9yo,4,1,-8.371983,-4.090028
226,6-9yo,5,1,-6.2814403,-3.0012052
226,6-9yo,6,1,1.1491288,1.3032564
226,6-9yo,1,2,1.697741,6.2746
226,6-9yo,2,2,-1.3286543,7.7438307
226,6-9yo,3,2,6.8162365,3.3766263
226,6-9yo,4,2,13.254207,2.7155495
226,6-9yo,5,2,-5.15963,2.4461527
226,6-9yo,6,2,-3.1902099,6.517849
226,6-9yo,1,3,-4.3734894,-2.9218385
226,6-9yo,2,3,9.44314,-5.1556325
226,6-9yo,3,3,2.6449425,-3.5462744
226,6-9yo,4,3,3.534653,-4.9085994
226,6-9yo,5,3,4.8498974,5.679223
226,6-9yo,6,3,8.398552,-2.06199
