Subject,AgeGroup,Run,Item,PC1,PC2
222,6-9yo,1,1,-2.319198,4.845347
222,6-9yo,2,1,-0.0941747,4.7469535
222,6-9yo,3,1,-2.5963879,-0.6718893
222,6-9yo,4,1,6.821826,-1.818321
222,6-9yo,5,1,-1.3438122,1.3971435
222,6-9yo,6,1,-0.8522877,-1.415735
222,6-9yo,1,2,5.5615487,0.08849759
222,6-9yo,2,2,5.079128,-1.9019963
222,6-9yo,3,2,-0.651647,5.498832
222,6-9yo,4,2,1.6634533,4.798566
222,6-9yo,5,2,1.0529937,4.9132876
222,6-9yo,6,2,0.3173586,4.8389125
222,6-9yo,1,3,0.3590529,-1.7734358
222,6-9yo,2,3,-1.2635285,-0.19519871
222,6-9yo,3,3,-3.4913201,-3.3594358
222,6-9yo,4,3,-2.0219436,-3.34135
222,6-9yo,5,3,-5.005784,-2.924342
222,6-9yo,6,3,4.295563,-1.9383333
222,6-9yo,1,4,-3.6013997,-3.160409
222,6-9yo,2,4,-3.7214282,-2.6497586
222,6-9yo,3,4,6.7393546,-1.4675071
222,6-9yo,4,4,-6.463335,0.36110544
222,6-9yo,5,4,5.296604,-3.3860905
222,6-9yo,6,4,-3.7606335,-1.4848447
211,6-9yo,1,1,-5.6179523,1.0468534
211,6-9yo,2,1,7.7240677,-2.399658
211,6-9yo,3,1,-4.8192863,6.829249
211,6-9yo,4,1,-4.590504,-1.7038518
211,6-9yo,5,1,7.884693,-0.9595412
211,6-9yo,6,1,-2.7778616,-1.7390314
211,6-9yo,1,2,-2.2742262,-3.8305495
211,6-9yo,2,2,0.070641026,5.6598554
211,6-9yo,3,2,1.8993274,-3.397577
211,6-9yo,4,2,0.75433064,4.7250504
211,6-9yo,5,2,-1.4413,4.903076
211,6-9yo,6,2,1.6969655,4.624782
211,6-9yo,1,3,6.243183,-1.6152275
211,6-9yo,2,3,-2.3876069,0.16793035
211,6-9yo,3,3,-4.986896,-5.157453
211,6-9yo,4,3,-4.3391685,-1.0638499
211,6-9yo,5,3,-1.9299616,-1.2256336
211,6-9yo,6,3,5.5551753,-2.5515387
211,6-9yo,1,4,1.648995,4.3989224
211,6-9yo,2,4,-5.407105,-3.4281292
211,6-9yo,3,4,7.906854,1.7257837
211,6-9yo,4,4,8.175343,-1.9573505
211,6-9yo,5,4,-4.5134335,-2.7179017
211,6-9yo,6,4,-4.47428,-0.3342122
351,6-9yo,1,1,-2.730196,-1.6826392
351,6-9yo,2,1,-1.474469,-1.5697726
351,6-9yo,3,1,0.71067834,5.636033
351,6-9yo,4,1,-0.31365368,-1.5974615
351,6-9yo,5,1,-5.5998216,-3.3021162
351,6-9yo,6,1,-0.4457566,-2.3280025
351,6-9yo,1,2,0.61348176,-3.0941622
351,6-9yo,2,2,-3.0832736,-2.6713831
351,6-9yo,3,2,-2.2280807,-3.7557452
351,6-9yo,4,2,6.794455,0.95892775
351,6-9yo,5,2,-1.6401978,5.0047245
351,6-9yo,6,2,-4.5010934,-1.3618909
351,6-9yo,1,3,-2.6108298,3.444669
351,6-9yo,2,3,6.475804,-0.28787467
351,6-9yo,3,3,-5.13357,-0.011221302
351,6-9yo,4,3,-2.7220213,-4.4526567
351,6-9yo,5,3,5.770008,-1.8092281
351,6-9yo,6,3,5.662427,-0.7098331
351,6-9yo,1,4,4.727546,1.3321327
351,6-9yo,2,4,-1.9180627,4.52903
351,6-9yo,3,4,6.6509733,-1.8690666
351,6-9yo,4,4,-3.7587814,5.09119
351,6-9yo,5,4,1.4700096,0.106622
351,6-9yo,6,4,-0.71557623,4.3997254
298,6-9yo,1,1,1.7576492,-0.539641
298,6-9yo,2,1,-1.2408996,-3.4927883
298,6-9yo,3,1,0.30694357,-1.7575405
298,6-9yo,4,1,-5.1399903,-2.8178136
298,6-9yo,5,1,1.6527566,5.485433
298,6-9yo,6,1,-4.5365157,-4.4265294
298,6-9yo,1,2,4.446677,-0.6271008
298,6-9yo,2,2,6.357004,0.5911993
298,6-9yo,3,2,-4.5408096,-3.4811442
298,6-9yo,4,2,5.7126045,-3.3737495
298,6-9yo,5,2,-1.9194669,-1.2483251
298,6-9yo,6,2,4.945261,-2.713656
298,6-9yo,1,3,-4.4101486,-2.2287533
298,6-9yo,2,3,-2.3968549,-0.627522
298,6-9yo,3,3,-3.5812497,4.9321566
298,6-9yo,4,3,1.5947516,4.8400235
298,6-9yo,5,3,-6.503026,-1.2975363
298,6-9yo,6,3,-2.6893818,4.616772
298,6-9yo,1,4,-1.794177,3.395495
298,6-9yo,2,4,-2.7192514,3.5291095
