Subject,AgeGroup,Run,Item,PC1,PC2
222,6-9yo,1,1,-5.3628025,-5.002332
222,6-9yo,2,1,-0.49342456,4.434735
222,6-9yo,3,1,-1.7611866,-3.5528417
222,6-9yo,4,1,8.652562,-1.7636579
222,6-9yo,5,1,-5.7447805,-2.3962626
222,6-9yo,6,1,5.8703036,-2.2616074
222,6-9yo,1,2,6.0654664,-2.2373216
222,6-9yo,2,2,-1.7012064,-4.177249
222,6-9yo,3,2,8.289486,-0.23252407
222,6-9yo,4,2,-2.2156405,-3.3363633
222,6-9yo,5,2,7.320696,1.2564939
222,6-9yo,6,2,-5.1854243,-0.09833028
222,6-9yo,1,3,-2.776355,5.8285875
222,6-9yo,2,3,5.5814657,-0.64563173
222,6-9yo,3,3,-4.068208,-3.0984333
222,6-9yo,4,3,-0.28788745,6.6929207
222,6-9yo,5,3,1.8293741,-3.6455388
222,6-9yo,6,3,2.1330118,3.9218056
222,6-9yo,1,4,2.073691,1.411064
222,6-9yo,2,4,-3.3868353,0.38814563
222,6-9yo,3,4,-2.4600925,6.8837996
222,6-9yo,4,4,-6.149035,-1.5928994
222,6-9yo,5,4,-3.4052894,4.785309
222,6-9yo,6,4,-2.817892,-1.561869
211,6-9yo,1,1,-6.171595,-6.078411
211,6-9yo,2,1,-4.9651585,-3.7207217
211,6-9yo,3,1,1.017486,6.7743354
211,6-9yo,4,1,7.6209126,0.2311562
211,6-9yo,5,1,-4.0057573,-3.8650331
211,6-9yo,6,1,-6.732578,4.2468357
211,6-9yo,1,2,-5.3243923,0.938723
211,6-9yo,2,2,5.2888665,1.6402434
211,6-9yo,3,2,-5.1746964,-1.6783198
211,6-9yo,4,2,-4.748552,5.773149
211,6-9yo,5,2,-3.1108253,5.0248184
211,6-9yo,6,2,10.881115,2.3588686
211,6-9yo,1,3,0.8985646,8.968357
211,6-9yo,2,3,-4.147918,4.403489
211,6-9yo,3,3,-4.29983,-2.1572404
211,6-9yo,4,3,2.5906546,-0.88768727
211,6-9yo,5,3,5.528853,0.50502557
211,6-9yo,6,3,4.2355947,-4.1568313
211,6-9yo,1,4,10.597424,-3.828669
211,6-9yo,2,4,3.8242104,-2.323013
211,6-9yo,3,4,8.457041,-2.9387748
211,6-9yo,4,4,-5.4630165,-5.116618
211,6-9yo,5,4,1.5877289,-1.6648107
211,6-9yo,6,4,-8.3841305,-2.4488752
351,6-9yo,1,1,-3.4328141,3.142946
351,6-9yo,2,1,-1.4110546,3.363191
351,6-9yo,3,1,6.7212763,-2.5178442
351,6-9yo,4,1,-2.6051428,0.124299355
351,6-9yo,5,1,1.1405878,3.558954
351,6-9yo,6,1,-0.6193802,4.8522663
351,6-9yo,1,2,5.5433865,0.9222944
351,6-9yo,2,2,0.29233113,1.1860449
351,6-9yo,3,2,-5.003102,-3.8844066
351,6-9yo,4,2,6.4758434,-0.13766097
351,6-9yo,5,2,-4.048226,1.344947
351,6-9yo,6,2,6.7457557,-0.6312397
351,6-9yo,1,3,-2.1277604,-2.6790366
351,6-9yo,2,3,-2.8679674,-3.287593
351,6-9yo,3,3,0.609363,4.218913
351,6-9yo,4,3,-2.111238,-3.5215619
351,6-9yo,5,3,5.7629294,-1.4639568
351,6-9yo,6,3,-0.8914471,-3.415045
351,6-9yo,1,4,0.017188597,-1.3862041
351,6-9yo,2,4,3.986691,-1.2616421
351,6-9yo,3,4,-2.3275378,2.1833377
351,6-9yo,4,4,-1.7594625,3.534924
351,6-9yo,5,4,-2.8552904,-3.4399426
351,6-9yo,6,4,-5.234925,-0.80598223
298,6-9yo,1,1,5.356392,0.74137497
298,6-9yo,2,1,-1.8241935,4.540885
298,6-9yo,3,1,4.7553167,0.32678694
298,6-9yo,4,1,-4.505928,0.61716574
298,6-9yo,5,1,-1.8319535,5.627675
298,6-9yo,6,1,6.9455724,-3.4532893
298,6-9yo,1,2,-1.6155866,-1.5336639
298,6-9yo,2,2,-6.7708373,-2.249522
298,6-9yo,3,2,-2.3617613,5.1783977
298,6-9yo,4,2,6.1103435,-4.0125375
298,6-9yo,5,2,-0.6136945,-0.31608015
298,6-9yo,6,2,-5.4841404,-1.9015039
298,6-9yo,1,3,-2.6584122,3.5477345
298,6-9yo,2,3,6.840004,-0.5754781
298,6-9yo,3,3,-4.414691,-3.3877385
298,6-9yo,4,3,2.5483515,6.1779366
298,6-9yo,5,3,-4.212514,-4.1838355
298,6-9yo,6,3,1.4489037,6.6849275
298,6-9yo,1,4,-1.0823942,-2.755446
298,6-9yo,2,4,1.7550244,-1.7158868
298,6-9yo,3,4,2.021136,-2.1174474
298,6-9yo,4,4,-4.152767,-2.7825637
298,6-9yo,5,4,6.6581616,-1.1277596
298,6-9yo,6,4,-2.9103384,-1.3301345
226,6-9yo,1,1,-4.6012716,4.416668
226,6-9yo,2,1,-0.7570323,-0.49958903
226,6-9yo,3,1,-0.86544096,1.8661629
226,6-9yo,4,1,-3.3921108,-1.460787
226,6-9yo,5,1,-0.4933727,3.5797253
226,6-9yo,6,1,-5.869805,-2.9910848
226,6-9yo,1,2,7.3891883,1.2042269
226,6-9yo,2,2,-1.5107601,4.469041
226,6-9yo,3,2,6.322551,-2.349015
226,6-9yo,4,2,1.5844215,4.510122
226,6-9yo,5,2,0.15701078,2.7840753
226,6-9yo,6,2,-0.42886394,3.8277676
226,6-9yo,1,3,-3.9405189,-3.5150728
226,6-9yo,2,3,-3.3095527,-3.2083688
226,6-9yo,3,3,-5.3450956,-3.1570122
226,6-9yo,4,3,5.8729777,-2.464969
226,6-9yo,5,3,-6.9727025,-3.3498962
226,6-9yo,6,3,5.9023085,-2.830369
226,6-9yo,1,4,1.1526031,-2.1058233
226,6-9yo,2,4,5.5773444,-0.76108265
