Subject,AgeGroup,Run,Item,PC1,PC2,PC3
222,6-9yo,1,1,-0.19776817,-2.5140107,3.8301144
222,6-9yo,2,1,-0.22358228,2.9552557,-2.5592291
222,6-9yo,3,1,1.6072799,5.549402,-2.2413046
222,6-9yo,4,1,8.00603,-1.205449,-1.341072
222,6-9yo,5,1,-0.71793145,-4.417062,-2.707065
222,6-9yo,6,1,-0.64365244,5.394848,-1.8521115
222,6-9yo,1,2,-3.816859,4.878311,0.10730264
222,6-9yo,2,2,4.9373846,-2.04252,-0.34116688
222,6-9yo,3,2,6.845625,-3.2372026,0.61258405
222,6-9yo,4,2,-1.9914944,6.9468236,-0.7736856
222,6-9yo,5,2,6.0057335,-0.13607176,1.8802829
222,6-9yo,6,2,6.213109,-1.3634844,0.31169355
222,6-9yo,1,3,6.8345695,1.1865381,-1.0291824
222,6-9yo,2,3,-0.31477967,1.6478704,3.3962672
222,6-9yo,3,3,-5.0446243,-3.2759619,-3.031157
222,6-9yo,4,3,-0.78879184,-1.4689258,4.563279
222,6-9yo,5,3,-0.6592322,4.716292,-2.3704553
222,6-9yo,6,3,-2.6092093,0.028634468,4.0773897
222,6-9yo,1,4,-2.8199432,-3.5508363,-2.908233
222,6-9yo,2,4,-4.399024,-2.5606055,-0.49587104
222,6-9yo,3,4,-3.4082794,0.96376085,4.659878
222,6-9yo,4,4,-5.225747,-4.272451,-2.4485211
222,6-9yo,5,4,-4.62857,-0.16315925,3.1972392
222,6-9yo,6,4,-2.9602468,-4.0599985,-2.536971
211,6-9yo,1,1,5.878937,-3.037712,-0.97848994
211,6-9yo,2,1,5.3444376,-4.3166237,0.37254503
211,6-9yo,3,1,-3.5397148,5.772341,0.33963278
211,6-9yo,4,1,7.871845,-2.545286,-0.63588303
211,6-9yo,5,1,-4.227687,-2.8409421,-0.815563
211,6-9yo,6,1,-2.683377,-3.711984,-2.3173163
211,6-9yo,1,2,0.48371696,5.1723986,-1.863976
211,6-9yo,2,2,-4.2510014,-2.1774614,-2.4887676
211,6-9yo,3,2,0.3290563,-2.6018407,4.765448
211,6-9yo,4,2,-2.8820853,-1.3388492,2.7929447
211,6-9yo,5,2,-3.1897411,3.505406,0.25250217
211,6-9yo,6,2,1.6274065,4.647823,-1.8844469
211,6-9yo,1,3,-5.8135276,-2.6943853,-1.5604806
211,6-9yo,2,3,-3.5924263,0.39647898,2.931865
211,6-9yo,3,3,8.2403755,0.40255117,-1.9625335
211,6-9yo,4,3,1.4710654,5.203315,-0.1111116
211,6-9yo,5,3,2.5761366,-1.054051,2.3700204
211,6-9yo,6,3,5.169137,-2.3026407,1.522368
211,6-9yo,1,4,-0.5491279,0.55969775,4.4029465
211,6-9yo,2,4,2.49899,6.0976057,-0.8156448
211,6-9yo,3,4,-5.029715,-3.573051,-3.142547
211,6-9yo,4,4,-6.460826,-1.3191805,-2.0459507
211,6-9yo,5,4,4.8412914,0.38958648,-1.8069608
211,6-9yo,6,4,-4.1131673,1.3668014,2.6793947
351,6-9yo,1,1,-2.1968498,-2.9777353,2.973902
351,6-9yo,2,1,-2.5883317,4.1994734,-0.18005073
351,6-9yo,3,1,2.5419738,-2.3303967,5.089429
351,6-9yo,4,1,-2.0039744,-2.0964117,4.7120476
351,6-9yo,5,1,-3.923535,5.168434,-0.33500305
351,6-9yo,6,1,-0.12599671,-3.731421,3.492535
351,6-9yo,1,2,4.536575,-2.5085504,-1.4900403
351,6-9yo,2,2,-3.035528,-1.8558668,3.489003
351,6-9yo,3,2,-3.5886855,6.6878552,0.3904855
351,6-9yo,4,2,7.0334773,1.8458933,0.08486126
351,6-9yo,5,2,-3.0943809,-4.4004436,-3.183023
351,6-9yo,6,2,-4.6246557,-1.15497,-2.961898
351,6-9yo,1,3,-3.8305953,0.6277886,-2.9136982
351,6-9yo,2,3,8.664789,-0.16151528,0.005351189
351,6-9yo,3,3,-6.679358,-4.4143395,-2.1382475
351,6-9yo,4,3,-0.9086422,-5.028259,-3.3999648
351,6-9yo,5,3,6.681894,1.0904647,-1.9455205
351,6-9yo,6,3,5.47034,-0.37072664,-2.2034802
351,6-9yo,1,4,1.4908727,4.858496,1.4298347
351,6-9yo,2,4,-3.0409327,-2.1820905,-3.3143032
351,6-9yo,3,4,7.7260714,0.05687976,-3.3416686
351,6-9yo,4,4,-4.120859,5.2787766,-1.3969433
351,6-9yo,5,4,0.33602345,-1.858454,5.4635468
351,6-9yo,6,4,-0.7196882,5.257119,1.6728429
298,6-9yo,1,1,0.89435726,-1.3649422,2.164413
298,6-9yo,2,1,-0.9773175,-1.130743,1.2097244
298,6-9yo,3,1,-0.5512484,3.3490496,-1.2467632
298,6-9yo,4,1,-0.84020406,3.8891385,-1.9222108
298,6-9yo,5,1,0.16009027,-3.5497236,2.254864
298,6-9yo,6,1,1.4863968,4.196669,-2.558377
298,6-9yo,1,2,4.7073517,1.1425024,-0.8784964
298,6-9yo,2,2,5.546565,-0.40869537,-0.28086692
298,6-9yo,3,2,-1.3583827,0.34853235,2.5974722
298,6-9yo,4,2,0.49657276,-3.7500143,-2.1059203
298,6-9yo,5,2,-1.0351082,4.253012,1.513962
298,6-9yo,6,2,5.602989,-1.8728366,1.8148481
298,6-9yo,1,3,-3.5781324,2.3847904,0.2589277
298,6-9yo,2,3,-3.1417434,-1.9596473,-0.8249628
298,6-9yo,3,3,-2.9988074,-2.5886328,-1.1977569
298,6-9yo,4,3,-4.6248555,-0.60678184,2.1455536
298,6-9yo,5,3,6.041109,0.11933012,-1.6296642
298,6-9yo,6,3,-4.24833,1.667457,3.0224392
298,6-9yo,1,4,-2.0235772,-2.1623504,-1.5448442
298,6-9yo,2,4,-1.4275023,3.499085,-0.10389485
298,6-9yo,3,4,4.9084373,-1.10895,-0.15295193
298,6-9yo,4,4,4.9684873,0.46765694,1.8825784
298,6-9yo,5,4,-5.166092,-0.8226176,-2.139162
298,6-9yo,6,4,-2.8410559,-3.9912899,-2.2789097
226,6-9yo,1,1,4.1320057,-2.310808,1.082254
226,6-9yo,2,1,-0.0865218,-2.5185387,2.6699293
226,6-9yo,3,1,4.7649508,0.65587384,-1.6598125
226,6-9yo,4,1,2.5806854,3.3778214,-1.3620816
226,6-9yo,5,1,1.6600971,3.8049457,-2.6675599
226,6-9yo,6,1,0.89430517,-1.1729634,1.9882228
226,6-9yo,1,2,2.2585828,3.2615843,-1.2289026
226,6-9yo,2,2,-3.0845244,-3.3818336,-2.0820444
226,6-9yo,3,2,-3.1201937,3.3191562,-0.06333387
226,6-9yo,4,2,-2.9074395,-2.5937462,-1.8747507
226,6-9yo,5,2,-2.1969523,2.3917959,3.3201861
226,6-9yo,6,2,-2.5003276,3.172153,0.076003864
226,6-9yo,1,3,-2.912629,-1.9900643,-2.0983496
226,6-9yo,2,3,-4.5060434,4.592164,0.13772032
226,6-9yo,3,3,-2.7790318,-3.000016,-1.4710796
226,6-9yo,4,3,-4.2789073,1.4234878,1.8958011
226,6-9yo,5,3,-4.110065,-3.167054,-1.684986
226,6-9yo,6,3,-2.8474581,-2.4495149,-1.0416396
226,6-9yo,1,4,-3.4779596,1.039288,2.244999
226,6-9yo,2,4,7.6770906,1.3082085,-0.72560513
226,6-9yo,3,4,1.1342753,-0.97501504,3.194226
226,6-9yo,4,4,4.6056623,-2.2075622,1.341031
226,6-9yo,5,4,4.646921,-3.0296876,1.0323601
226,6-9yo,6,4,4.4534793,0.45032546,-1.0225866
323,6-9yo,1,1,-5.8105307,4.7947245,-1.6150502
323,6-9yo,2,1,8.347195,-0.9125457,-1.0112307
323,6-9yo,3,1,-1.8213587,1.4250457,1.8076829
323,6-9yo,4,1,-5.2464566,-4.3821807,-1.1855032
323,6-9yo,5,1,5.544618,-3.4304044,0.24892746
323,6-9yo,6,1,-1.018414,-3.048624,4.7844114
323,6-9yo,1,2,2.6502893,0.6544768,4.250452
323,6-9yo,2,2,-1.5211611,-1.8453953,4.385036
323,6-9yo,3,2,7.0411987,-2.472289,0.0815625
323,6-9yo,4,2,1.3745993,-0.43676075,3.5029342
323,6-9yo,5,2,-5.49738,-3.174801,-1.028618
323,6-9yo,6,2,8.938618,-1.8056995,-1.9777904
323,6-9yo,1,3,-9.780072,-4.2534356,-0.5921435
323,6-9yo,2,3,-1.9421412,6.2138305,-0.46435297
323,6-9yo,3,3,1.6515251,3.191332,-1.2042346
323,6-9yo,4,3,9.293284,0.25382778,-1.6037425
323,6-9yo,5,3,-1.124659,2.5200748,3.5761492
323,6-9yo,6,3,-7.176929,-2.586989,-3.180949
323,6-9yo,1,4,12.940313,-1.1957653,-2.04326
323,6-9yo,2,4,-4.883892,-3.4558885,-2.9094515
323,6-9yo,3,4,-6.8713665,-2.1440902,-0.6850114
323,6-9yo,4,4,-5.421428,4.565114,-0.7136888
323,6-9yo,5,4,1.0774208,4.0851316,-2.7964582
323,6-9yo,6,4,-0.7432754,7.4413137,0.37432808
341,6-9yo,1,1,-2.6752694,-2.9073825,-2.5477326
341,6-9yo,2,1,6.126789,-2.4940188,0.35037386
341,6-9yo,3,1,9.449248,-0.90943974,0.19710244
341,6-9yo,4,1,1.8259281,-0.010911837,2.2692466
341,6-9yo,5,1,-4.322907,-3.1214893,-1.2587227
341,6-9yo,6,1,1.5542315,5.1444526,1.661931
341,6-9yo,1,2,-1.90536,-1.6548207,3.2015755
341,6-9yo,2,2,-5.2521634,-2.5043418,-1.3568373
341,6-9yo,3,2,-4.1772814,-2.59055,-2.7869406
341,6-9yo,4,2,-4.1168365,-3.4597867,-0.38011804
341,6-9yo,5,2,2.3744216,-2.3139906,2.3051958
341,6-9yo,6,2,-1.9329059,-4.164401,2.4333873
341,6-9yo,1,3,-1.3879312,5.1873684,-0.43319395
341,6-9yo,2,3,1.5068411,3.6083927,-1.7684149
341,6-9yo,3,3,-1.2150856,4.2125154,-1.0548401
341,6-9yo,4,3,5.173387,-0.5237475,-1.3845493
341,6-9yo,5,3,4.9087763,1.0282123,-1.7807336
341,6-9yo,6,3,7.557886,-1.5661879,-1.8511558
341,6-9yo,1,4,5.96856,-0.6251653,-0.22064961
341,6-9yo,2,4,-2.381466,1.3899672,2.7748785
341,6-9yo,3,4,-4.0568805,-0.7125261,3.6446788
341,6-9yo,4,4,-2.8824792,3.994445,-0.5045808
341,6-9yo,5,4,-2.9602897,4.4072657,0.7342607
341,6-9yo,6,4,-7.179211,0.5861369,-2.2441611
229,6-9yo,1,1,-2.0623944,4.144694,1.7990975
229,6-9yo,2,1,-4.5048084,3.965866,-1.0604475
229,6-9yo,3,1,-1.8512396,-1.6171944,3.8811648
229,6-9yo,4,1,-4.081544,-1.4839504,4.1614904
229,6-9yo,5,1,-3.445853,-0.6995896,4.8019733
229,6-9yo,6,1,-3.738217,-3.331033,-2.5014486
229,6-9yo,1,2,-4.7293916,-1.6481906,-2.406887
229,6-9yo,2,2,-2.079657,-1.8001231,3.4139714
229,6-9yo,3,2,-0.5431927,5.719893,-0.37386957
229,6-9yo,4,2,-2.1547391,5.0181937,-1.8935455
229,6-9yo,5,2,2.493622,6.892487,-0.69646895
229,6-9yo,6,2,9.072149,-1.1475415,0.38772452
229,6-9yo,1,3,1.3431687,-3.4967034,2.6755352
229,6-9yo,2,3,6.9956584,1.7863576,0.18294214
229,6-9yo,3,3,5.994982,-1.527667,-0.5884313
229,6-9yo,4,3,6.7928233,0.37950674,1.5842204
229,6-9yo,5,3,-5.607174,-1.7279949,-3.7161896
229,6-9yo,6,3,-4.351295,-0.7003831,3.2034802
229,6-9yo,1,4,5.4486175,1.0002005,-2.0677462
229,6-9yo,2,4,-0.4111938,-3.952101,-2.536464
229,6-9yo,3,4,-3.60055,-2.575031,-2.9188643
229,6-9yo,4,4,-0.55654067,-3.9137492,-3.8521645
229,6-9yo,5,4,6.559406,-4.4649034,-0.38931614
229,6-9yo,6,4,-0.9826361,5.1789575,-1.0897585
279,6-9yo,1,1,9.595403,-4.021828,-0.054182544
279,6-9yo,2,1,5.073781,-2.0830965,0.027292477
279,6-9yo,3,1,-5.469145,-2.691463,-2.0296907
279,6-9yo,4,1,-4.2078176,4.1709204,1.5917407
279,6-9yo,5,1,-3.017282,-3.4777603,-0.82854056
279,6-9yo,6,1,-5.7932096,-3.8372529,-1.4523764
279,6-9yo,1,2,-8.499367,-2.4783087,-1.5684096
279,6-9yo,2,2,-4.379775,-2.3004313,-1.3908573
279,6-9yo,3,2,6.1040006,-1.1512879,-2.0388134
279,6-9yo,4,2,4.4454765,1.9291207,-3.3587842
279,6-9yo,5,2,5.179635,-0.6904342,-0.8122178
279,6-9yo,6,2,1.7623144,5.2045717,-1.7527163
279,6-9yo,1,3,-4.209129,0.36990237,2.439406
279,6-9yo,2,3,-1.3195937,1.1559253,3.6413796
279,6-9yo,3,3,0.4213886,-2.459103,3.8179874
279,6-9yo,4,3,4.031399,-2.0561306,3.5145974
279,6-9yo,5,3,-1.8631368,3.6254976,-1.4054364
279,6-9yo,6,3,7.4381666,-3.3249857,0.5159344
279,6-9yo,1,4,3.1130898,6.130235,-0.81681347
279,6-9yo,2,4,0.6255895,3.227602,-2.2778156
279,6-9yo,3,4,-1.0562443,6.301854,0.25051668
279,6-9yo,4,4,-4.269058,-4.0439105,-1.7475525
279,6-9yo,5,4,-0.29921564,0.54269636,3.0461957
279,6-9yo,6,4,-3.4072697,1.9576675,2.6891594
282,6-9yo,1,1,-0.50768197,4.182888,0.039560754
282,6-9yo,2,1,-0.33295533,-1.6413677,3.134036
282,6-9yo,3,1,8.019765,-2.6025712,-0.3273921
282,6-9yo,4,1,-24.74822,19.301844,-0.67644304
282,6-9yo,5,1,0.7593905,5.426265,0.37273237
282,6-9yo,6,1,-7.5013337,-4.503235,-0.51305723
282,6-9yo,1,2,4.677956,-0.97821635,-0.47907668
282,6-9yo,2,2,-5.403577,-1.868875,-1.7527122
282,6-9yo,3,2,-0.00028820708,5.6053243,-2.8460927
282,6-9yo,4,2,42.81845,2.4784157,-4.4350266
282,6-9yo,5,2,-1.3421003,-2.211239,3.8844728
282,6-9yo,6,2,8.888541,-2.5605326,-1.495457
282,6-9yo,1,3,-2.7137818,-1.6162114,-2.3076153
282,6-9yo,2,3,6.1504827,-1.4002813,-1.3709062
282,6-9yo,3,3,-2.1624088,0.8894763,5.7412863
282,6-9yo,4,3,6.4717674,-5.254658,9.628176
282,6-9yo,5,3,8.5755205,-1.9788022,-1.7561655
282,6-9yo,6,3,-2.276776,5.465158,-2.418283
282,6-9yo,1,4,-1.4564941,-1.5884615,2.7471313
282,6-9yo,2,4,-0.4139506,4.910523,-0.010416358
282,6-9yo,3,4,-5.857068,-3.8922281,-2.5678027
282,6-9yo,4,4,-24.541994,-16.525595,-4.5167036
282,6-9yo,5,4,-7.9928074,-1.236224,-2.5010421
282,6-9yo,6,4,0.88956624,1.5986081,4.426799
350,6-9yo,1,1,2.8194995,-0.84614927,2.7589428
350,6-9yo,2,1,6.287762,-3.3749373,-0.80478746
350,6-9yo,3,1,5.692266,-4.2763124,0.714554
350,6-9yo,4,1,8.361911,-5.3560357,-0.50914305
350,6-9yo,5,1,-3.5019886,-4.4115944,-2.8980248
350,6-9yo,6,1,-0.84060323,5.839185,-3.4304552
350,6-9yo,1,2,3.820942,0.3303606,-2.4106705
350,6-9yo,2,2,1.0532769,2.7938998,2.7497551
350,6-9yo,3,2,2.0331578,4.8273573,-2.6367536
350,6-9yo,4,2,-4.5561466,-1.2397715,4.33784
350,6-9yo,5,2,0.3065504,-1.6352575,5.1234155
350,6-9yo,6,2,8.311274,-3.4424393,-0.8773745
