Subject,AgeGroup,Run,Item,PC1,PC2,PC3
222,6-9yo,1,1,-0.6691157,-2.6480947,5.1369686
222,6-9yo,2,1,-1.3880322,-1.7374723,3.604483
222,6-9yo,3,1,-5.3055525,-5.52009,-2.2190568
222,6-9yo,4,1,8.548744,-1.1843152,-1.8119802
222,6-9yo,5,1,3.275726,-3.9172902,3.8342912
222,6-9yo,6,1,-5.138811,-2.1775568,-4.314355
222,6-9yo,1,2,-5.0231395,4.867337,-0.4724088
222,6-9yo,2,2,-1.3041406,5.494154,-0.3290734
222,6-9yo,3,2,-5.0104637,6.2313848,1.1746463
222,6-9yo,4,2,-2.2083516,7.22011,-0.73080647
222,6-9yo,5,2,-6.2506967,-3.1249022,-3.479941
222,6-9yo,6,2,6.981797,-1.1577783,-2.3040693
222,6-9yo,1,3,7.2484446,2.1833804,-0.70357275
222,6-9yo,2,3,-3.4465358,-2.9018183,-2.57487
222,6-9yo,3,3,6.4408164,1.8285774,-3.8723986
222,6-9yo,4,3,-0.5169433,-1.7111398,5.4054546
222,6-9yo,5,3,-5.847212,4.6919694,2.1259212
222,6-9yo,6,3,-0.9247425,6.773943,1.0473198
222,6-9yo,1,4,-1.5561925,-4.402621,-3.9609869
222,6-9yo,2,4,6.138708,-0.8548619,-0.7005384
222,6-9yo,3,4,3.8751986,-2.539875,4.9168096
222,6-9yo,4,4,-5.823449,-4.3246517,-2.8626668
222,6-9yo,5,4,8.822185,2.3502235,-2.4802725
222,6-9yo,6,4,-0.91824144,-3.4386065,5.571104
211,6-9yo,1,1,-7.970858,-2.6310425,-3.3675327
211,6-9yo,2,1,8.63505,0.19445781,0.7987831
211,6-9yo,3,1,-2.175432,8.106355,-0.2795207
211,6-9yo,4,1,9.252233,-3.2471552,-1.1425527
211,6-9yo,5,1,-3.8957448,3.9900165,-1.498828
211,6-9yo,6,1,-0.081708655,-0.69466937,5.8839474
211,6-9yo,1,2,-2.1586523,6.6059775,2.1745207
211,6-9yo,2,2,-1.7955378,-4.127877,-4.4432235
211,6-9yo,3,2,1.4731045,-2.2398312,6.307653
211,6-9yo,4,2,-3.0968335,-1.3498024,4.826048
211,6-9yo,5,2,-4.9522552,-3.8970687,0.68727505
211,6-9yo,6,2,-4.7961626,-5.78989,-2.4185586
211,6-9yo,1,3,8.0765505,0.24051113,-4.083496
211,6-9yo,2,3,-3.8724592,-2.849273,4.4866776
211,6-9yo,3,3,8.685958,-1.5538355,-3.4809654
211,6-9yo,4,3,1.939257,6.2860928,-0.42854577
211,6-9yo,5,3,3.3476477,1.5069182,3.2049477
211,6-9yo,6,3,-4.2012086,6.528459,-1.5318581
211,6-9yo,1,4,2.0529618,-4.215446,5.27651
211,6-9yo,2,4,-2.967053,6.7826915,-0.8422382
211,6-9yo,3,4,-7.983629,-4.3126874,-2.5471654
211,6-9yo,4,4,-8.094657,-1.6891352,-3.2549484
211,6-9yo,5,4,5.500352,-1.5998666,-2.3933964
211,6-9yo,6,4,9.079082,-0.043903276,-1.9335312
351,6-9yo,1,1,-2.6760895,-3.7172146,3.7793424
351,6-9yo,2,1,-3.8374119,5.753086,-1.2422241
351,6-9yo,3,1,2.0822396,-3.3070614,6.0711803
351,6-9yo,4,1,5.226146,-0.34437215,-5.2675285
