Subject,AgeGroup,Run,Item,PC1,PC2,PC3
222,6-9yo,1,1,18.085926,-0.9010507,-4.8379197
222,6-9yo,2,1,10.356612,1.8355755,-5.6016436
222,6-9yo,3,1,-9.819468,-7.3783293,-7.5526834
222,6-9yo,4,1,-13.891772,-5.04514,-6.0592804
222,6-9yo,5,1,3.050263,-6.2952385,9.279439
222,6-9yo,6,1,17.464323,-3.6485157,-1.943831
222,6-9yo,1,2,-1.5478097,-9.191674,7.0008497
222,6-9yo,2,2,4.251803,-4.0284014,8.083383
222,6-9yo,3,2,3.5673676,11.45977,-5.35933
222,6-9yo,4,2,-0.22478105,-7.9464164,7.8797927
222,6-9yo,5,2,-12.125564,-7.288043,-5.5900025
222,6-9yo,6,2,-6.161183,-4.896003,8.584874
222,6-9yo,1,3,-15.234629,-1.092887,-6.8562174
222,6-9yo,2,3,-8.229315,-6.542956,-4.2232075
222,6-9yo,3,3,-9.1108675,2.068721,10.354382
222,6-9yo,4,3,-4.3285403,13.678214,2.1438515
222,6-9yo,5,3,15.557474,0.8566235,-5.444833
222,6-9yo,6,3,-0.0061613107,11.520952,1.0465941
222,6-9yo,1,4,-1.3034918,11.18561,4.6932845
222,6-9yo,2,4,-6.3790984,8.735784,1.7414691
222,6-9yo,3,4,15.362966,-6.150158,2.5576303
222,6-9yo,4,4,18.445093,-0.6866554,-3.9643695
222,6-9yo,5,4,-6.4821754,12.726657,1.7553941
222,6-9yo,6,4,-11.296973,-2.9764302,-7.687645
211,6-9yo,1,1,-9.940361,10.315576,0.013277265
211,6-9yo,2,1,-9.586712,-8.717446,-7.674181
211,6-9yo,3,1,16.905151,-2.2557707,-2.1871386
211,6-9yo,4,1,22.007774,-4.1211233,4.304525
211,6-9yo,5,1,-4.7632647,-14.665211,-8.209069
211,6-9yo,6,1,-9.423688,-15.027826,-7.722362
211,6-9yo,1,2,-10.456183,-10.043926,-0.42442498
211,6-9yo,2,2,-4.5734143,-6.812231,9.360787
211,6-9yo,3,2,-3.8290243,-5.3374543,11.0935955
211,6-9yo,4,2,-7.1021156,-12.849877,-9.718631
211,6-9yo,5,2,-1.2086943,17.759535,-5.808965
211,6-9yo,6,2,-4.0316396,16.968584,-7.6424623
211,6-9yo,1,3,9.665845,-0.4079611,8.186839
211,6-9yo,2,3,-7.4852266,15.477624,-0.19731143
211,6-9yo,3,3,-3.6900845,15.619356,-0.72768986
211,6-9yo,4,3,-0.32875583,17.322958,-5.954103
211,6-9yo,5,3,-16.653456,-0.5504718,9.248917
211,6-9yo,6,3,21.495026,-3.0069513,0.67525864
211,6-9yo,1,4,10.730699,0.13631514,-7.775692
211,6-9yo,2,4,21.645357,0.05205537,-1.4892946
211,6-9yo,3,4,-9.386042,-8.0261345,-8.178773
211,6-9yo,4,4,-14.576901,-0.3519539,11.36821
211,6-9yo,5,4,22.625416,-2.5438511,4.769117
211,6-9yo,6,4,-8.039693,1.0661954,14.689564
351,6-9yo,1,1,-12.979931,-5.46218,-2.5834422
351,6-9yo,2,1,-8.360646,13.14402,-2.8806088
351,6-9yo,3,1,14.082335,-4.808433,-4.3241086
351,6-9yo,4,1,1.9427869,-9.1181555,-7.2232714
351,6-9yo,5,1,18.286648,1.1809081,2.067096
351,6-9yo,6,1,-13.685158,-8.23711,-5.7323456
351,6-9yo,1,2,-2.812221,10.3529415,-0.9136626
351,6-9yo,2,2,-0.56559813,-1.4376363,10.764885
351,6-9yo,3,2,-0.7045415,14.43409,-1.0011154
351,6-9yo,4,2,-9.138602,-3.8046646,8.300986
351,6-9yo,5,2,-2.6453438,-11.280288,-6.516314
351,6-9yo,6,2,0.40475658,13.689945,-5.1714244
351,6-9yo,1,3,2.8102798,-2.1341143,8.012637
351,6-9yo,2,3,18.351013,-0.045023147,-3.323133
351,6-9yo,3,3,-0.89874613,-3.647198,10.935979
351,6-9yo,4,3,-6.845925,9.503872,-5.02812
351,6-9yo,5,3,-6.1374483,13.233081,-3.7884283
351,6-9yo,6,3,-4.060157,1.1080068,12.402965
351,6-9yo,1,4,12.981873,-2.7566495,-4.515533
351,6-9yo,2,4,-9.424766,-11.661364,-4.561145
351,6-9yo,3,4,-12.479045,-5.97846,-5.6107564
351,6-9yo,4,4,14.041747,3.41895,3.9504046
351,6-9yo,5,4,-9.5038595,-3.1337037,8.237646
351,6-9yo,6,4,17.340559,-6.5608377,-1.4991977
298,6-9yo,1,1,-1.5924321,11.577691,3.1179113
298,6-9yo,2,1,13.026796,2.6158977,-3.7227986
298,6-9yo,3,1,-2.5840678,-5.8430104,10.051583
298,6-9yo,4,1,-4.708707,-1.6043066,8.950537
298,6-9yo,5,1,6.966837,8.515213,-1.674125
298,6-9yo,6,1,15.598228,-6.836133,1.8044887
298,6-9yo,1,2,12.151999,-0.9936078,-3.9935117
298,6-9yo,2,2,-4.6862283,8.911651,3.5884662
298,6-9yo,3,2,-9.7768545,11.42166,-1.5864501
298,6-9yo,4,2,15.196249,-3.0871882,-0.84655744
298,6-9yo,5,2,-11.633739,0.67086124,5.676554
298,6-9yo,6,2,-11.605976,0.4711959,6.543363
298,6-9yo,1,3,-0.7183408,-8.073027,6.808286
298,6-9yo,2,3,-12.042251,-3.198477,-4.1168413
298,6-9yo,3,3,14.9706955,4.6648417,-0.6614525
298,6-9yo,4,3,-1.6364524,11.211138,-2.3173907
298,6-9yo,5,3,-10.511158,-3.421951,-5.3894987
298,6-9yo,6,3,5.368428,11.655855,-2.0602932
298,6-9yo,1,4,-9.841225,-2.5110538,-5.932683
298,6-9yo,2,4,3.7016835,-8.329073,4.2511716
298,6-9yo,3,4,-2.609777,-10.243493,-7.803681
298,6-9yo,4,4,-8.851092,-6.5196447,-5.786589
298,6-9yo,5,4,15.178061,-5.7641215,1.3870705
298,6-9yo,6,4,-9.360681,-5.2909217,-6.2875576
226,6-9yo,1,1,-9.332399,-1.0337958,10.987755
226,6-9yo,2,1,1.7486675,15.303547,-9.3343935
226,6-9yo,3,1,17.799538,3.4101129,-7.6072154
226,6-9yo,4,1,-8.370445,-8.510015,-7.424251
226,6-9yo,5,1,6.5645037,0.07231016,12.160299
226,6-9yo,6,1,2.1166985,-4.501212,9.594817
226,6-9yo,1,2,17.016827,-5.732957,1.7568913
226,6-9yo,2,2,-5.691723,7.8205314,12.43541
226,6-9yo,3,2,4.2227507,-11.539581,11.120474
