Subject,AgeGroup,Run,Item,PC1,PC2,PC3
222,6-9yo,1,1,-1.0005105,1.7078166,4.945654
222,6-9yo,2,1,-0.8713968,-0.879333,3.135175
222,6-9yo,3,1,-4.6954274,-5.0087028,-2.225085
222,6-9yo,4,1,-4.5497856,-5.434406,-0.7378969
222,6-9yo,5,1,3.276205,5.3279314,-1.0860034
222,6-9yo,6,1,6.1943617,-2.4777298,-1.1358681
222,6-9yo,1,2,6.3459773,-2.4463437,-0.4803048
222,6-9yo,2,2,0.26150948,5.0423403,-0.51856005
222,6-9yo,3,2,-4.583887,5.993714,0.4738114
222,6-9yo,4,2,-3.7918887,5.9132357,-0.7473229
222,6-9yo,5,2,-5.783603,0.26041776,3.6269784
222,6-9yo,6,2,-4.9041767,-3.3745496,-2.5227692
222,6-9yo,1,3,-4.8508844,-4.0397553,-1.3285791
222,6-9yo,2,3,-4.1624756,-1.9902447,-1.7185562
222,6-9yo,3,3,6.9480414,1.3543781,-2.6768787
222,6-9yo,4,3,2.5967705,-0.14223692,4.6768913
222,6-9yo,5,3,-6.154967,-2.1906142,-3.14131
222,6-9yo,6,3,-1.0620084,-0.16059461,5.398344
222,6-9yo,1,4,-0.4945825,4.778284,-3.1367714
222,6-9yo,2,4,4.7723637,-2.172764,-0.89805883
222,6-9yo,3,4,2.3312747,-2.3393896,4.4281526
222,6-9yo,4,4,5.7449036,-0.33659154,-3.191672
222,6-9yo,5,4,8.662367,-3.3977337,0.60033447
222,6-9yo,6,4,-0.22817528,6.012874,-1.7397066
211,6-9yo,1,1,8.1203165,1.5200703,2.4305005
211,6-9yo,2,1,7.3607903,0.454563,0.43979388
211,6-9yo,3,1,-0.6535061,7.391113,-1.6945242
211,6-9yo,4,1,9.547985,-2.269353,-1.0675128
211,6-9yo,5,1,3.037717,3.0660038,-1.6849748
211,6-9yo,6,1,0.67568946,-2.2849796,4.7294855
211,6-9yo,1,2,1.3860866,-5.0564694,-3.4122796
211,6-9yo,2,2,-1.5478641,-3.6189206,-3.2303076
211,6-9yo,3,2,-0.20104103,-0.39372456,5.9003215
211,6-9yo,4,2,-3.270474,-1.9264536,3.8194087
211,6-9yo,5,2,5.2972555,-2.6788404,0.6984745
211,6-9yo,6,2,-2.6223023,6.443375,0.065384015
211,6-9yo,1,3,-6.370346,-1.77956,3.68792
211,6-9yo,2,3,-2.9376106,-2.423716,3.4304123
211,6-9yo,3,3,-6.9687896,-4.0219984,-2.2297125
211,6-9yo,4,3,1.1874253,5.396072,0.2474626
211,6-9yo,5,3,-3.050231,1.266851,2.9679294
211,6-9yo,6,3,-5.689987,-3.7666392,-2.5206983
211,6-9yo,1,4,-3.136058,5.3159595,-2.706141
211,6-9yo,2,4,-2.875316,5.588073,-0.63989824
211,6-9yo,3,4,7.823336,-2.975391,-1.9760844
211,6-9yo,4,4,-7.4649353,-1.2002646,-2.9993603
211,6-9yo,5,4,-5.284743,-1.6540148,-1.9814299
211,6-9yo,6,4,7.6366014,-0.39175698,-2.2741714
351,6-9yo,1,1,-1.5981108,-3.9252398,3.3536398
351,6-9yo,2,1,-3.391077,-2.5926204,-3.605861
351,6-9yo,3,1,0.21223769,6.188958,2.6389747
351,6-9yo,4,1,-4.150859,-0.9538125,4.810575
351,6-9yo,5,1,-2.6821425,6.3408823,-1.4960606
351,6-9yo,6,1,-2.0239894,-1.2452972,4.9668903
351,6-9yo,1,2,8.722354,0.15588814,-0.7512426
351,6-9yo,2,2,-2.989189,-2.1431682,3.9188204
351,6-9yo,3,2,-0.97726804,-5.2380486,3.6217883
351,6-9yo,4,2,3.0144553,7.556806,-0.26487634
351,6-9yo,5,2,-4.531119,-4.9497204,-2.367856
351,6-9yo,6,2,-4.36483,-2.3636365,-3.4891357
351,6-9yo,1,3,-4.2108846,-2.5808926,-3.337406
351,6-9yo,2,3,9.120034,-0.18745238,-0.115607895
351,6-9yo,3,3,7.327339,-0.912382,-2.7434611
351,6-9yo,4,3,-5.0781646,-1.2659438,-4.3404937
351,6-9yo,5,3,7.1759744,-0.75206393,-2.0852208
351,6-9yo,6,3,6.225217,-2.2152133,-0.8141038
351,6-9yo,1,4,-2.9133565,6.3502445,0.73500687
351,6-9yo,2,4,-2.7397673,4.92324,-0.19735092
351,6-9yo,3,4,-6.5623093,-0.03852726,-3.517305
351,6-9yo,4,4,6.214569,-5.337051,-0.20520435
351,6-9yo,5,4,0.037284527,-0.63910055,5.949137
351,6-9yo,6,4,0.16360207,5.8241444,-0.6636512
298,6-9yo,1,1,0.29378265,0.38359344,2.2623448
298,6-9yo,2,1,-1.2290858,-1.3209238,1.1167679
298,6-9yo,3,1,4.3440375,-2.725959,-0.4004291
298,6-9yo,4,1,0.5765908,4.291411,0.6737572
298,6-9yo,5,1,-0.27300867,3.786577,1.0442593
298,6-9yo,6,1,-1.2092162,-2.6084728,4.3300757
298,6-9yo,1,2,5.6589084,-0.88196045,-0.7987165
298,6-9yo,2,2,5.163496,-0.62965745,-0.22319855
298,6-9yo,3,2,-3.845445,-0.38909698,-2.4521675
298,6-9yo,4,2,-0.86569446,-2.1837773,2.996659
298,6-9yo,5,2,-0.43202034,-2.5686622,2.3516815
298,6-9yo,6,2,-3.4527006,-2.98878,-3.5081232
298,6-9yo,1,3,-4.1251583,-2.519565,-0.5137471
298,6-9yo,2,3,-2.9420414,-1.8276923,-0.84031475
298,6-9yo,3,3,-2.694957,-0.71629333,2.853122
298,6-9yo,4,3,5.2242336,-1.4534689,-1.5658721
298,6-9yo,5,3,5.2341,-0.5727613,-1.4420927
298,6-9yo,6,3,6.929777,-0.08478073,-0.95030665
298,6-9yo,1,4,-1.8275326,3.017931,-0.94988126
298,6-9yo,2,4,-0.99236935,3.778274,-0.053254105
298,6-9yo,3,4,2.196363,3.8313513,-0.0005255036
298,6-9yo,4,4,-4.935128,-0.6541654,-2.1045446
298,6-9yo,5,4,-4.5290737,-0.6451534,-1.953848
298,6-9yo,6,4,-2.267861,5.6820326,0.12835348
226,6-9yo,1,1,1.1361029,-2.8520653,3.5802715
226,6-9yo,2,1,0.07498435,-2.0802433,4.181301
226,6-9yo,3,1,5.511139,1.3366708,-1.5501645
226,6-9yo,4,1,1.9206314,1.931051,2.7911427
226,6-9yo,5,1,0.4304061,5.0800934,-2.6005168
226,6-9yo,6,1,0.19212547,5.3176537,1.3235848
226,6-9yo,1,2,5.6629763,0.2810423,-2.2767951
226,6-9yo,2,2,-3.2424302,-4.4458413,-2.632024
226,6-9yo,3,2,-2.2665682,-3.8683987,-2.4327474
226,6-9yo,4,2,-4.3649325,-3.9498453,0.4362186
226,6-9yo,5,2,-3.4330456,1.2608387,4.0630865
226,6-9yo,6,2,-1.9345914,-3.165933,3.5299969
226,6-9yo,1,3,-2.049591,5.1334376,0.9759813
226,6-9yo,2,3,-4.606634,5.249587,-0.25818545
226,6-9yo,3,3,-3.7693584,4.0667434,-0.21867189
226,6-9yo,4,3,-2.513401,4.1437297,-1.6789507
226,6-9yo,5,3,-3.8995912,-4.250079,-2.3295171
226,6-9yo,6,3,5.9956784,-1.5902377,-1.3726861
226,6-9yo,1,4,-4.7494864,-2.562414,-2.2794557
226,6-9yo,2,4,7.7740808,1.276496,-1.2910916
226,6-9yo,3,4,0.52478635,-1.5350156,4.201583
226,6-9yo,4,4,4.9577017,-2.124934,-1.5484127
226,6-9yo,5,4,6.9022307,-2.090853,0.866948
226,6-9yo,6,4,-4.2532115,-0.5614838,-3.4808967
323,6-9yo,1,1,7.2178626,0.21575499,-1.8622475
323,6-9yo,2,1,6.7714453,-1.6604254,0.91361105
323,6-9yo,3,1,-3.8818817,-3.435595,-1.4833345
323,6-9yo,4,1,1.2198246,4.649313,-0.58686286
323,6-9yo,5,1,6.7017417,0.7006142,-0.60492086
323,6-9yo,6,1,8.05474,-0.5421574,-3.8828118
323,6-9yo,1,2,-1.2350245,4.4571996,1.8412437
323,6-9yo,2,2,-3.6782207,0.9470477,3.5314739
323,6-9yo,3,2,-1.0273597,3.9089758,-1.8708956
323,6-9yo,4,2,-1.7711189,-0.73804146,3.6373553
323,6-9yo,5,2,-0.73595417,-2.086521,3.0133948
323,6-9yo,6,2,0.5795033,-5.4250107,5.00115
323,6-9yo,1,3,0.20288587,-3.9066634,2.4802496
323,6-9yo,2,3,-0.01459213,5.523152,-2.2459607
323,6-9yo,3,3,-2.1886015,0.6418686,3.39075
